date, pm25, pm10, no2
2014/1/2, 78, 27, 4
2014/1/3, 61, 28, 15
2014/1/4, 66, 26, 12
2014/1/5, 59, 12, 5
2014/1/6, 31, 15, 18
2014/1/7, 40, 18, 22
2014/1/8, 47, 25, 26
2014/1/9, 55, 16, 8
2014/1/10, 26, 9, 9
2014/1/11, 23, 26, 18
2014/1/12, 64, 29, 11
2014/1/13, 77, 31, 9
2014/1/14, 76, 20, 18
2014/1/15, 42, 20, 18
2014/1/16, 44, 17, 20
2014/1/17, 37, 19, 18
2014/1/18, 43, 31, 11
2014/1/19, 79, 15, 6
2014/1/20, 41, 25, 19
2014/1/21, 61, 32, 17
2014/1/22, 70, 20, 13
2014/1/23, 55, 23, 21
2014/1/24, 62, 31, 24
2014/1/25, 75, 43, 30
2014/1/26, 92, 25, 9
2014/1/27, 51, 17, 16
2014/1/28, 40, 22, 21
2014/1/29, 56, 35, 22
2014/1/30, 71, 44, 27
2014/1/31, 81, 24, 12
2014/2/1, 64, 32, 27
2014/2/2, 68, 47, 23
2014/2/3, 94, 57, 22
2014/2/4, 106, 16, 6
2014/2/5, 28, 11, 7
2014/2/6, 21, 14, 12
2014/2/7, 30, 11, 6
2014/2/8, 24, 12, 13
2014/2/9, 21, 11, 9
2014/2/10, 18, 10, 8
2014/2/11, 29, 12, 6
2014/2/12, 20, 14, 9
2014/2/13, 22, 12, 10
2014/2/14, 20, 16, 15
2014/2/15, 26, 16, 7
2014/2/16, 32, 27, 6
2014/2/17, 65, 37, 16
2014/2/18, 79, 19, 7
2014/2/19, 45, 15, 4
2014/2/20, 35, 16, 11
2014/2/21, 40, 20, 15
2014/2/22, 51, 16, 15
2014/2/23, 46, , 
2014/1/1, , 33, 5
