date, pm25, pm10, o3, no2
2023/11/2, 39, 64, 24, 8
2023/11/3, 27, 24, 24, 7
2023/11/4, 30, 20, 29, 3
2023/11/5, 15, 25, 33, 1
2023/11/6, 16, 20, 33, 2
2023/11/7, 16, 5, 37, 2
2023/11/8, 11, 6, 28, 3
2023/11/9, 12, 8, 25, 6
2023/11/10, 21, 12, 29, 7
2023/11/11, 34, 9, 33, 5
2023/11/12, 22, 5, 37, 3
2023/11/13, 12, 7, 35, 1
2023/11/14, 10, 8, 37, 1
2023/11/15, 13, 9, 35, 1
2023/11/16, 13, 5, 28, 3
2023/11/17, 16, 9, 23, 7
2023/11/18, 28, 5, 32, 2
2023/11/19, 12, , , 
2023/10/2, 14, 7, 33, 1
2023/10/3, 15, 7, 25, 3
2023/10/4, 22, 6, 26, 3
2023/10/5, 14, 8, 33, 4
2023/10/6, 15, 10, 32, 4
2023/10/7, 23, 9, 38, 3
2023/10/8, 23, 7, 40, 2
2023/10/9, 20, 18, 35, 2
2023/10/10, 18, 13, 36, 2
2023/10/11, 19, 8, 35, 1
2023/10/12, 12, 4, 27, 3
2023/10/13, 11, 7, 28, 2
2023/10/14, 14, 6, 31, 1
2023/10/15, 8, 8, 36, 3
2023/10/16, 18, 17, 33, 5
2023/10/17, 20, 21, 37, 4
2023/10/18, 27, 22, 35, 4
2023/10/19, 24, 23, 36, 6
2023/10/20, 20, 22, 35, 5
2023/10/21, 20, 15, 36, 3
2023/10/22, 18, 11, 36, 2
2023/10/23, 19, 16, 33, 3
2023/10/24, 20, 12, 31, 3
2023/10/25, 41, 24, 38, 1
2023/10/26, 21, 5, 35, 1
2023/10/27, 12, 7, 29, 4
2023/10/28, 19, 6, 27, 2
2023/10/29, 16, 7, 29, 2
2023/10/30, 26, 12, 27, 7
2023/10/31, 27, 21, 26, 9
2023/11/1, 37, 31, 26, 11
2023/7/2, 37, 22, 45, 1
2023/7/3, 35, 29, 40, 2
2023/7/4, 33, 14, 47, 2
2023/7/5, 34, 24, 55, 3
2023/7/6, 52, 24, 49, 3
2023/7/7, 34, 18, 58, 2
2023/7/8, 32, 26, 54, 1
2023/7/9, 44, 21, 49, 2
2023/7/10, 38, 17, 52, 1
2023/7/11, 28, 15, 45, 1
2023/7/12, 17, 29, 47, 2
2023/7/13, 42, 33, 50, 2
2023/7/14, 27, 26, 35, 3
2023/7/15, 33, 23, 45, 4
2023/7/16, 29, 23, 41, 1
2023/7/17, 27, 36, 38, 2
2023/7/18, 35, 32, 39, 3
2023/7/19, 48, 16, 46, 1
2023/7/20, 30, 16, 58, 2
2023/7/21, 32, 18, 53, 2
2023/7/22, 26, 22, 51, 1
2023/7/23, 27, 25, 42, 1
2023/7/24, 29, 33, 40, 1
2023/7/25, 40, 21, 48, 1
2023/7/26, 40, 20, 45, 1
2023/7/27, 22, 16, 44, 1
2023/7/28, 20, 18, 40, 3
2023/7/29, 27, 20, 45, 1
2023/7/30, 38, 20, 48, 1
2023/7/31, 43, 22, 46, 1
2023/8/1, 35, 12, 46, 1
2023/8/2, 22, 10, 42, 1
2023/8/3, 30, 7, 41, 1
2023/8/4, 25, 6, 50, 1
