date, pm10, so2
2023/3/2, 37, 12
2023/3/3, 53, 17
2023/3/4, 75, 6
2023/3/5, 756, 11
2023/3/6, 809, 
2023/2/14, 25, 7
2023/2/15, 25, 14
2023/2/16, 25, 4
2023/2/17, 27, 13
2023/2/18, 19, 12
2023/2/19, 19, 10
2023/2/20, 34, 16
2023/2/21, 42, 9
2023/2/22, 37, 9
2023/2/23, 26, 12
2023/2/24, 37, 6
2023/2/25, 32, 13
2023/2/26, 25, 5
2023/2/27, 40, 15
2023/2/28, 45, 1
2023/3/1, 44, 15
2023/1/3, 22, 20
2023/1/4, 22, 18
2023/1/5, 27, 19
2023/1/6, 22, 13
2023/1/7, 50, 8
2023/1/8, 39, 12
2023/1/9, 34, 8
2023/1/10, 24, 12
2023/1/11, 21, 17
2023/1/12, 24, 23
2023/1/13, 36, 22
2023/1/14, 32, 18
2023/1/15, 36, 
2023/1/16, 46, 
2023/1/18, 53, 9
2023/1/19, 40, 7
2023/1/20, 26, 18
2023/1/21, 29, 33
2023/1/22, 54, 24
2023/1/23, 55, 15
2023/1/24, 50, 16
2023/1/25, 53, 17
2023/1/26, 55, 8
2023/1/27, 58, 13
2023/1/28, 41, 11
2023/1/29, 42, 
2023/1/30, 51, 
2022/10/2, 41, 5
2022/10/3, 39, 7
2022/10/4, 49, 7
2022/10/5, 101, 9
2022/10/6, 169, 6
2022/10/7, 119, 6
2022/10/8, 55, 8
2022/10/9, 56, 6
2022/10/10, 54, 5
2022/10/11, 26, 7
2022/10/12, 3, 6
2022/10/13, 3, 8
2022/10/14, 5, 8
2022/10/15, 40, 7
2022/10/16, 50, 4
2022/10/17, 42, 11
2022/10/18, 65, 9
2022/10/19, 65, 9
2022/10/20, 71, 8
2022/10/21, 94, 4
2022/10/22, 190, 
2022/10/23, 993, 
2022/10/25, 18, 9
2022/10/26, 21, 5
2022/10/27, 22, 7
2022/10/28, 29, 9
2022/10/29, 26, 7
2022/10/30, 23, 8
2022/10/31, 36, 3
2022/11/1, 49, 4
2022/11/2, 38, 9
2022/11/3, 23, 8
2022/11/4, 17, 7
2022/11/5, 23, 10
2022/11/6, 44, 6
2022/11/7, 49, 8
2022/11/8, 47, 10
2022/11/9, 43, 9
2022/11/10, 31, 8
2022/11/11, 37, 10
2022/11/12, 38, 7
2022/11/13, 40, 10
2022/11/14, 29, 5
2022/11/15, 21, 5
2022/11/16, 38, 2
2022/11/17, 46, 9
2022/11/18, 36, 12
2022/11/19, 52, 13
2022/11/20, 42, 13
2022/11/21, 26, 11
2022/11/22, 18, 16
2022/11/23, 41, 9
2022/11/24, 42, 19
2022/11/25, 34, 7
2022/11/26, 39, 10
2022/11/27, 22, 7
2022/11/28, 14, 14
2022/11/29, 25, 16
2022/11/30, 52, 7
2022/12/1, 25, 9
2022/12/2, 22, 13
2022/12/3, 28, 8
2022/12/4, 31, 9
2022/12/5, 20, 11
2022/12/6, 36, 19
2022/12/7, 38, 14
2022/12/8, 39, 16
2022/12/9, 46, 14
2022/12/10, 50, 7
2022/12/11, 36, 9
2022/12/12, 25, 18
2022/12/13, 51, 16
2022/12/14, 47, 11
2022/12/15, 52, 20
2022/12/16, 56, 13
2022/12/17, 96, 11
2022/12/18, 48, 4
2022/12/19, 20, 12
2022/12/20, 21, 20
2022/12/21, 36, 25
2022/12/22, 52, 27
2022/12/23, 54, 12
2022/12/24, 52, 12
2022/12/25, 34, 18
2022/12/26, 39, 14
2022/12/27, 57, 13
2022/12/28, 47, 6
2022/12/29, 24, 7
2022/12/30, 22, 10
2022/12/31, 40, 10
2023/1/1, 26, 8
2023/1/2, 24, 9
2022/7/2, 50, 3
2022/7/3, 47, 
2022/7/4, 53, 1
2022/7/5, 51, 3
2022/7/6, 38, 5
2022/7/7, 42, 4
2022/7/8, 49, 2
2022/7/9, 54, 2
2022/7/10, 48, 5
2022/7/11, 54, 6
2022/7/12, 52, 9
2022/7/13, 34, 5
2022/7/14, 30, 6
2022/7/15, 30, 7
2022/7/16, 37, 3
2022/7/17, 51, 9
2022/7/18, 42, 1
2022/7/19, 43, 5
2022/7/20, 44, 6
2022/7/21, 39, 4
2022/7/22, 44, 9
2022/7/23, 55, 10
2022/7/24, 39, 7
2022/7/25, 33, 8
2022/7/26, 44, 6
2022/7/27, 33, 4
2022/7/28, 30, 13
2022/7/29, 29, 10
2022/7/30, 35, 8
2022/7/31, 36, 
2022/8/1, 36, 13
2022/8/2, 48, 10
2022/8/3, 47, 10
2022/8/4, 49, 7
2022/8/5, 52, 7
2022/8/6, 52, 2
2022/8/7, 53, 5
2022/8/8, 67, 7
2022/8/9, 66, 8
2022/8/10, 56, 12
2022/8/11, 52, 8
2022/8/12, 53, 7
2022/8/13, 55, 7
2022/8/14, 54, 9
2022/8/15, 50, 4
2022/8/16, 59, 3
2022/8/17, 52, 7
2022/8/18, 42, 6
2022/8/19, 46, 5
2022/8/20, 45, 6
2022/8/21, 54, 10
2022/8/22, 39, 6
2022/8/23, 54, 8
2022/8/24, 62, 11
2022/8/25, 54, 10
2022/8/26, 60, 9
2022/8/27, 48, 8
2022/8/28, 38, 7
2022/8/29, 38, 9
2022/8/30, 49, 6
2022/8/31, 41, 9
2022/9/1, 45, 5
2022/9/2, 62, 6
2022/9/3, 60, 5
2022/9/4, 62, 5
2022/9/5, 62, 6
2022/9/6, 61, 9
2022/9/7, 48, 9
2022/9/8, 35, 6
2022/9/9, 29, 6
2022/9/10, 31, 9
2022/9/11, 38, 10
2022/9/12, 44, 10
2022/9/13, 42, 5
2022/9/14, 50, 11
2022/9/15, 50, 6
2022/9/16, 32, 5
2022/9/17, 32, 5
2022/9/18, 29, 
2022/9/19, 42, 7
2022/9/20, 47, 7
2022/9/21, 49, 8
2022/9/22, 99, 7
2022/9/23, 97, 4
2022/9/24, 44, 9
2022/9/25, 36, 7
2022/9/26, 39, 8
2022/9/27, 32, 8
2022/9/28, 30, 9
2022/9/29, 41, 6
2022/9/30, 48, 7
2022/10/1, 48, 3
2022/4/2, 65, 9
2022/4/3, 66, 7
2022/4/4, 65, 6
2022/4/5, 64, 6
2022/4/6, 65, 6
2022/4/7, 81, 3
2022/4/8, 182, 8
2022/4/9, 112, 6
2022/4/10, 125, 
2022/4/11, 43, 
2022/4/12, 10, 
2022/4/15, 20, 9
2022/4/16, 18, 5
2022/4/17, 15, 5
2022/4/18, 20, 
2022/4/19, 16, 9
2022/4/20, 101, 5
2022/4/21, 173, 
2022/4/22, 44, 
2022/4/26, 801, 12
2022/4/27, 306, 5
2022/4/28, 18, 5
2022/4/29, 57, 9
2022/4/30, 75, 5
2022/5/1, 63, 3
2022/5/2, 52, 5
2022/5/3, 28, 
2022/5/4, 20, 
2022/5/6, 41, 5
2022/5/7, 38, 4
2022/5/8, 24, 3
2022/5/9, 24, 1
2022/5/10, 29, 7
2022/5/11, 23, 7
2022/5/12, 24, 3
2022/5/13, 40, 6
2022/5/14, 26, 6
2022/5/15, 24, 5
2022/5/16, 32, 2
2022/5/17, 32, 7
2022/5/18, 25, 11
2022/5/19, 31, 7
2022/5/20, 29, 
2022/5/21, 45, 
2022/5/24, 181, 5
2022/5/25, 84, 3
2022/5/26, 42, 6
2022/5/27, 25, 8
2022/5/28, 22, 6
2022/5/29, 22, 7
2022/5/30, 36, 10
2022/5/31, 45, 8
2022/6/1, 34, 7
2022/6/2, 42, 14
2022/6/3, 67, 15
2022/6/4, 93, 9
2022/6/5, 116, 6
2022/6/6, 63, 9
2022/6/7, 52, 10
2022/6/8, 61, 11
2022/6/9, 59, 6
2022/6/10, 58, 7
2022/6/11, 56, 4
2022/6/12, 55, 12
2022/6/13, 58, 5
2022/6/14, 76, 4
2022/6/15, 65, 3
2022/6/16, 53, 2
2022/6/17, 44, 4
2022/6/18, 47, 4
2022/6/19, 50, 5
2022/6/20, 68, 8
2022/6/21, 67, 9
2022/6/22, 75, 6
2022/6/23, 122, 9
2022/6/24, 70, 
2022/6/25, 69, 3
2022/6/26, 59, 8
2022/6/27, 44, 8
2022/6/28, 25, 8
2022/6/29, 39, 5
2022/6/30, 50, 7
2022/7/1, 46, 10
2022/1/4, 34, 20
2022/1/5, 17, 28
2022/1/6, 49, 18
2022/1/7, 62, 17
2022/1/8, 30, 17
2022/1/9, 29, 24
2022/1/10, 33, 13
2022/1/11, 32, 26
2022/1/12, 44, 13
2022/1/13, 56, 
2022/1/14, 31, 13
2022/1/15, 35, 15
2022/1/16, 16, 14
2022/1/17, 20, 12
2022/1/18, 19, 9
2022/1/19, 22, 8
2022/1/20, 51, 12
2022/1/21, 49, 18
2022/1/22, 20, 17
2022/1/23, 34, 14
2022/1/24, 27, 21
2022/1/25, 32, 27
2022/1/26, 45, 17
2022/1/27, 38, 10
2022/1/28, 37, 18
2022/1/29, 25, 19
2022/1/30, 36, 18
2022/1/31, 41, 19
2022/2/1, 31, 16
2022/2/2, 33, 
2022/2/3, 31, 
2022/2/7, 17, 11
2022/2/8, 39, 10
2022/2/9, 42, 21
2022/2/10, 32, 11
2022/2/11, 56, 
2022/2/12, 56, 
2022/2/13, 39, 12
2022/2/14, 19, 18
2022/2/15, 29, 15
2022/2/16, 40, 12
2022/2/17, 48, 16
2022/2/18, 51, 12
2022/2/19, 48, 18
2022/2/20, 47, 8
2022/2/21, 68, 17
2022/2/22, 56, 12
2022/2/23, 59, 16
2022/2/24, 46, 15
2022/2/25, 40, 9
2022/2/26, 63, 7
2022/2/27, 51, 13
2022/2/28, 29, 16
2022/3/1, 43, 14
2022/3/2, 35, 11
2022/3/3, 46, 20
2022/3/4, 53, 14
2022/3/5, 55, 10
2022/3/6, 22, 
2022/3/7, 23, 
2022/3/13, 19, 8
2022/3/14, 21, 8
2022/3/15, 17, 6
2022/3/16, 17, 2
2022/3/17, 18, 16
2022/3/18, 22, 11
2022/3/19, 31, 7
2022/3/20, 31, 
2022/3/21, 37, 27
2022/3/22, 28, 10
2022/3/23, 40, 
2022/3/24, 32, 2
2022/3/25, 23, 9
2022/3/26, 30, 9
2022/3/27, 26, 5
2022/3/28, 25, 8
2022/3/29, 22, 11
2022/3/30, 35, 12
2022/3/31, 33, 14
2022/4/1, 45, 11
2021/10/2, 44, 10
2021/10/3, 57, 12
2021/10/4, 72, 4
2021/10/5, 76, 6
2021/10/6, 56, 3
2021/10/7, 35, 8
2021/10/8, 37, 9
2021/10/9, 260, 9
2021/10/10, 198, 12
2021/10/11, 57, 2
2021/10/12, 67, 6
2021/10/13, 54, 5
