date, pm25, pm10, o3, no2, co
2023/8/2, 31, 13, 30, 3, 2
2023/8/3, 33, 20, 23, 4, 1
2023/8/4, 43, 18, 21, 3, 1
2023/8/5, 44, 15, 19, 4, 2
2023/8/6, 38, 9, 18, 2, 1
2023/8/7, 27, , , , 
2023/7/2, 15, 7, 25, 1, 1
2023/7/3, 16, 10, 25, 3, 1
2023/7/4, 25, 8, 25, 2, 2
2023/7/5, 24, 13, 29, 2, 2
2023/7/6, 35, 14, 39, 2, 2
2023/7/7, 33, 12, 32, 3, 2
2023/7/8, 26, 21, 50, 5, 2
2023/7/9, 51, 17, 40, 2, 2
2023/7/10, 43, 14, 37, 3, 2
2023/7/11, 37, 16, 36, 5, 2
2023/7/12, 37, 14, 30, 4, 3
2023/7/13, 40, 5, 25, 4, 2
2023/7/14, 20, 6, 26, 3, 2
2023/7/15, 12, 6, 22, 3, 2
2023/7/16, 16, 16, 28, 3, 2
2023/7/17, 42, 13, 24, 3, 2
2023/7/18, 25, 5, 18, 1, 1
2023/7/19, 13, 7, 27, 3, 1
2023/7/20, 14, 12, 28, 3, 1
2023/7/21, 29, 12, 27, 1, 1
2023/7/22, 32, 10, 22, 1, 1
2023/7/23, 25, 11, 22, 1, 1
2023/7/24, 30, 15, 23, 3, 1
2023/7/25, 34, 21, 22, 4, 2
2023/7/26, 42, 18, 36, 4, 2
2023/7/27, 40, 18, 37, 4, 3
2023/7/28, 39, 15, 27, 5, 2
2023/7/29, 43, 16, 23, 4, 2
2023/7/30, 45, 23, 16, 3, 2
2023/7/31, 60, 17, 30, 5, 2
2023/8/1, 41, 12, 32, 4, 2
2023/7/1, , 6, 22, 1, 2
