date, pm25, pm10, no2, so2, co
2014/6/20, 58, 29, 24, 5, 5
2014/6/21, 67, 27, 15, 3, 4
2014/6/22, 63, 19, 9, 1, 3
2014/6/23, 41, 20, 16, 1, 4
2014/6/24, 44, 19, 17, 3, 3
2014/6/25, 49, 19, 15, 3, 3
2014/6/26, 57, 40, 14, 2, 4
2014/6/27, 80, 27, 14, 2, 3
2014/6/28, 51, 10, 9, , 2
2014/6/29, 18, 25, 10, 2, 3
2014/6/30, 48, 37, 22, 2, 4
2014/7/1, 83, 28, 21, 2, 4
2014/1/2, 91, 21, 13, 5, 5
2014/1/3, 51, 15, 18, 3, 6
2014/1/4, 48, 20, 20, 2, 7
2014/1/5, 54, 9, 13, 1, 4
2014/1/6, 21, 11, 23, 2, 5
2014/1/7, 33, 13, 28, 2, 6
2014/1/8, 52, 19, 25, 1, 5
2014/1/9, 42, 7, 20, 1, 5
2014/1/10, 16, 7, 27, 2, 6
2014/1/11, 21, 16, 26, 4, 7
2014/1/12, 58, 28, 23, 6, 7
2014/1/13, 85, 15, 14, 4, 5
2014/1/14, 47, 9, 22, 2, 6
2014/1/15, 32, 14, 30, 3, 5
2014/1/16, 47, 12, 33, 4, 6
2014/1/17, 43, 14, 27, 3, 7
2014/1/18, 50, 30, 26, 6, 6
2014/1/19, 95, 9, 10, 3, 3
2014/1/20, 25, 24, 35, 4, 7
2014/1/21, 72, 33, 35, 5, 9
2014/1/22, 75, 17, 28, 4, 6
2014/1/23, 53, 20, 31, 4, 7
2014/1/24, 65, 24, 35, 4, 8
2014/1/25, 69, 43, 44, 5, 10
2014/1/26, 101, 29, 20, 3, 6
2014/1/27, 59, 12, 25, 2, 5
2014/1/28, 44, 27, 38, 8, 7
2014/1/29, 72, 23, 36, 4, 7
2014/1/30, 72, 25, 35, 2, 8
2014/1/31, 72, 15, 31, 4, 7
2014/2/1, 63, 19, 25, 4, 7
2014/2/2, 61, 40, 22, 3, 7
2014/2/3, 79, 50, 37, 5, 10
2014/2/4, 83, 5, 19, 2, 4
2014/2/5, 10, 7, 20, 1, 4
2014/2/6, 17, 7, 18, 2, 4
2014/2/7, 28, 7, 16, 2, 4
2014/2/8, 32, 6, 16, 2, 3
2014/2/9, 16, 7, 12, 2, 4
2014/2/10, 18, 10, 19, 2, 5
2014/2/11, 43, 6, 11, 2, 3
2014/2/12, 17, 10, 27, 2, 6
2014/2/13, 36, 9, 22, 3, 4
2014/2/14, 25, 8, 19, 2, 4
2014/2/15, 27, 8, 19, 2, 4
2014/2/16, 21, 21, 14, 3, 5
2014/2/17, 82, 33, 32, 4, 8
2014/2/18, 93, 15, 17, 2, 4
2014/2/19, 43, 11, 17, 2, 4
2014/2/20, 41, 16, 25, 2, 5
2014/2/21, 53, 17, 24, 2, 5
2014/2/22, 60, 15, 24, 2, 5
2014/2/23, 52, 14, 18, 2, 5
2014/2/24, 55, 18, 32, 2, 7
2014/2/25, 67, 49, 45, 6, 10
2014/2/26, 138, 58, 37, 4, 8
2014/2/27, 151, 35, 15, 2, 5
2014/2/28, 72, 33, 27, 3, 5
2014/3/1, 71, 42, 20, 2, 6
2014/3/2, 105, 15, 12, 1, 4
2014/3/3, 41, 9, 19, 1, 4
2014/3/4, 30, 13, 20, 2, 4
2014/3/5, 54, 16, 20, 1, 4
2014/3/6, 37, 12, 19, 1, 3
2014/3/7, 44, 12, 23, 3, 4
2014/3/8, 29, 13, 20, 2, 5
2014/3/9, 41, 19, 15, 2, 5
2014/3/10, 72, 10, 16, 1, 4
2014/3/11, 29, 16, 31, 3, 6
2014/3/12, 56, 24, 36, 6, 6
2014/3/13, 76, 23, 19, 2, 5
2014/3/14, 54, 9, 21, 1, 4
2014/3/15, 33, 19, 28, 2, 4
2014/3/16, 69, 42, 23, 5, 6
2014/3/17, 108, 55, 39, 7, 8
2014/3/18, 138, 45, 39, 8, 7
2014/3/19, 105, 24, 19, 5, 4
2014/3/20, 64, 18, 25, 3, 5
2014/3/21, 46, 6, 11, 1, 3
2014/3/22, 21, 11, 19, 3, 4
2014/3/23, 41, 26, 23, 7, 6
2014/3/24, 82, 49, 44, 10, 8
2014/3/25, 127, 37, 39, 12, 6
2014/3/26, 99, 31, 31, 6, 6
2014/3/27, 73, 33, 29, 6, 6
2014/3/28, 57, 36, 32, 4, 7
2014/3/29, 93, 28, 28, 2, 6
2014/3/30, 74, 13, 11, 1, 5
2014/3/31, 33, 17, 17, 1, 4
2014/4/1, 52, 21, 20, 1, 4
2014/1/1, , 34, 18, 5, 6
