date, pm25, pm10, o3, no2, so2
2021/6/1, 41, 18, 47, 2, 1
2021/6/2, 45, 12, 37, 2, 1
2021/6/3, 26, 5, 25, 2, 1
2021/6/4, 21, 12, 39, 1, 1
2021/6/5, 28, 10, 41, 2, 1
2021/6/6, 28, 15, 51, 3, 1
2021/6/7, 46, 17, 64, 2, 1
2021/6/8, 49, 21, 92, 3, 1
2021/6/9, 55, 22, 54, 2, 1
2021/6/10, 55, 16, 33, 1, 1
2021/6/11, 33, 12, 27, 1, 1
2021/6/12, 34, 16, 23, 2, 1
2021/6/13, 36, 14, 30, 2, 1
2021/6/14, 33, 17, 30, 1, 1
2021/6/15, 44, 10, 22, 1, 1
2021/6/16, 22, 8, 35, 2, 1
2021/6/17, 16, 10, 28, 1, 
2021/6/18, 22, , , , 
2021/5/1, 41, 10, 45, 1, 1
2021/5/2, 30, 10, 41, 1, 1
2021/5/3, 27, 10, 44, 1, 4
2021/5/4, 32, 9, 42, 1, 1
2021/5/5, 27, 10, 49, 2, 1
2021/5/6, 30, 14, 31, 3, 1
2021/5/7, 36, 18, 41, 2, 2
2021/5/8, 49, 32, 63, 1, 1
2021/5/9, 71, , , , 
2021/4/10, 41, 9, 29, 2, 1
2021/4/11, 29, 10, 41, 1, 1
2021/4/12, 24, 6, 36, 1, 1
2021/4/13, 19, 9, 38, 2, 1
2021/4/14, 28, 8, 42, 3, 1
2021/4/15, 33, 6, 40, 2, 1
2021/4/16, 29, 3, 36, 1, 1
2021/4/17, 9, 17, 30, 1, 1
2021/4/18, 30, 15, 38, 2, 1
2021/4/19, 31, 16, 44, 4, 2
2021/4/20, 43, 18, 56, 3, 1
2021/4/21, 48, 12, 62, 4, 1
2021/4/22, 38, 14, 51, 3, 2
2021/4/23, 35, 15, 41, 3, 1
2021/4/24, 44, 11, 39, 1, 1
2021/4/25, 36, 9, 45, 1, 
2021/4/26, 27, 8, 40, 2, 1
2021/4/27, 26, 9, 40, 2, 1
2021/4/28, 71, 2, 31, 1, 1
2021/4/29, 15, 17, 30, 1, 1
2021/4/30, 47, 19, 47, 1, 
2021/3/1, 18, 2, 34, 2, 1
2021/3/2, 9, 6, 36, 2, 
2021/3/3, 30, 7, 29, 2, 1
2021/3/4, 26, 5, 22, 4, 
2021/3/5, 24, 8, 38, 3, 
2021/3/6, 34, 10, 35, 1, 1
2021/3/7, 27, 5, 28, 4, 1
2021/3/8, 22, 15, 27, 4, 1
2021/3/9, 24, 15, 41, 3, 1
2021/3/10, 39, 13, 32, 5, 2
2021/3/11, 31, 15, 27, 5, 1
2021/3/12, 44, 4, 38, 2, 1
2021/3/13, 18, 12, 38, 2, 1
2021/3/14, 36, 19, 46, 2, 1
2021/3/15, 50, 24, 38, 3, 3
2021/3/16, 63, 26, 40, 3, 1
2021/3/17, 53, 21, 42, 6, 
2021/3/18, 35, 16, 39, 6, 1
2021/3/19, 38, 13, 37, 1, 
2021/3/20, 28, 5, 29, 1, 
2021/3/21, 16, 13, 36, 2, 1
2021/3/22, 34, 11, 39, 3, 1
2021/3/23, 26, 10, 40, 1, 1
2021/3/24, 30, 9, 28, 2, 
2021/3/25, 27, 16, 48, 3, 1
2021/3/26, 41, 16, 44, 2, 1
2021/3/27, 46, 11, 45, 1, 
2021/3/28, 35, 9, 33, 3, 2
2021/3/29, 34, , , , 
2021/2/1, 35, 14, 37, 3, 1
2021/2/2, 39, 11, 35, 2, 
2021/2/3, 35, 13, 33, 6, 1
2021/2/4, 37, 10, 35, 5, 1
2021/2/5, 35, 9, 34, 3, 2
2021/2/6, 29, 17, 39, 4, 1
2021/2/7, 48, 18, 32, 4, 1
2021/2/8, 56, 6, 30, 2, 1
2021/2/9, 15, 9, 34, 3, 1
2021/2/10, 25, 17, 42, 5, 1
2021/2/11, 44, 19, 32, 6, 1
2021/2/12, 50, 14, 30, 6, 2
2021/2/13, 44, 9, 31, 2, 1
2021/2/14, 24, 6, 36, 3, 1
2021/2/15, 23, 9, 34, 1, 
2021/2/16, 26, 7, 32, 1, 1
2021/2/17, 24, 7, 29, 2, 1
2021/2/18, 21, 7, 30, 3, 
2021/2/19, 23, 13, 38, 3, 1
2021/2/20, 42, 20, 46, 4, 2
2021/2/21, 56, 17, 44, 3, 2
2021/2/22, 56, , , , 
2021/1/4, 22, 15, 19, 5, 1
2021/1/5, 47, 9, 31, 4, 1
2021/1/6, 27, 5, 28, 2, 1
2021/1/7, 22, 5, 25, 2, 1
2021/1/8, 23, 5, 28, 2, 1
2021/1/9, 23, 8, 28, 2, 1
2021/1/10, 32, 10, 23, 4, 1
2021/1/11, 35, 9, 15, 6, 
2021/1/12, 31, 14, 27, 7, 1
2021/1/13, 47, 25, 33, 5, 2
2021/1/14, 57, 24, 31, 4, 1
2021/1/15, 60, 19, 22, 6, 2
2021/1/16, 54, 10, 31, 3, 1
