date, pm10, o3, no2, so2, co
2023/10/17, 646, 16, , 6, 4
2023/10/18, 646, 13, , 10, 3
2023/10/19, 646, 21, , 10, 6
2023/10/20, 646, 23, , , 5
2023/10/22, 647, 30, , 8, 6
2023/10/23, 647, 33, , , 2
2023/10/24, 646, 31, , 5, 4
2023/10/25, 646, 26, , 10, 5
2023/10/26, 646, 38, , , 4
2023/10/27, 647, 50, , , 4
2023/10/28, 647, 97, , , 5
2023/10/29, 647, 134, , , 4
2021/10/4, 38, 6, , 18, 10
2021/10/5, 31, 6, , 18, 9
2021/10/6, 31, 6, , 18, 8
2021/10/7, 46, 7, , 18, 11
2021/10/8, 26, 8, 20, 18, 9
2021/10/9, 28, 6, 19, 18, 9
2021/10/10, 33, 7, 16, 21, 15
2021/10/11, 29, 4, 17, 20, 10
2021/10/12, 29, 5, 14, 17, 9
2021/10/13, 40, 6, 14, 17, 10
2021/10/14, 49, 7, 14, 22, 12
2021/10/15, 69, 7, 13, 19, 14
2021/10/16, 70, 8, 14, 19, 17
2021/10/17, 57, 10, 11, 18, 12
2021/10/18, 26, 3, 10, 19, 8
2021/10/19, 25, , 11, 18, 8
2021/10/20, 20, , 11, 18, 7
2021/10/21, 27, , 13, 18, 8
2021/10/22, 49, , 19, 18, 11
2021/10/23, 38, , 15, 18, 9
2021/10/24, 41, , 16, 18, 11
2021/10/25, 37, , 11, 18, 10
2021/7/2, 84, , , 22, 
2021/7/3, 102, , , 24, 
2021/7/4, 131, , , 24, 
2021/7/5, 150, , , 23, 
2021/7/6, 65, , , 22, 
2021/7/7, 40, , , 22, 
2021/7/8, 67, , , 23, 
2021/7/9, 128, , , 23, 
2021/7/10, 110, , , 23, 
2021/7/11, 112, , , 23, 
2021/7/12, 131, , , 23, 
2021/7/13, 100, , , 22, 
2021/7/14, 48, , , 23, 
2021/7/15, 40, , 1, 24, 
2021/7/16, 33, , 1, 21, 
2021/7/17, 49, , , 22, 
2021/7/18, 69, , , 22, 
2021/7/19, 67, , , 22, 
2021/7/20, 94, , , 22, 
2021/7/21, 109, , , 22, 
2021/7/22, 78, , , 22, 
2021/7/23, 36, , 1, 23, 
