date, pm25, pm10, o3, no2, co
2023/7/2, 19, 13, 45, 3, 
2023/7/3, 37, 16, 34, 9, 
2023/7/4, 48, 21, 63, 10, 
2023/7/5, 58, 16, 27, 7, 
2023/7/6, 42, 19, 69, 8, 
2023/7/7, 52, 24, 47, 6, 
2023/7/8, 56, 24, 13, 1, 
2023/7/9, 50, 28, 15, 3, 
2023/7/10, 50, 23, 20, 8, 
2023/7/11, 50, 19, 19, 8, 
2023/7/12, 47, 22, 14, 4, 
2023/7/13, 54, 23, 13, 8, 
2023/7/14, 49, 17, 13, 6, 
2023/7/15, 39, 9, 11, 1, 
2023/7/16, 15, 8, 14, 1, 
2023/7/17, 18, 11, 35, 3, 
2023/7/18, 28, 18, 40, 8, 
2023/7/19, 50, 14, 13, 3, 
2023/7/20, 30, 7, 44, 6, 
2023/7/21, 18, 12, 50, 6, 
2023/7/22, 33, 15, 46, 5, 
2023/7/23, 33, 13, 41, 4, 
2023/7/24, 29, 11, 30, 4, 
2023/7/25, 31, 11, 20, 4, 
2023/7/26, 27, 15, 37, 5, 
2023/7/27, 37, 22, 49, 9, 
2023/7/28, 57, 23, 46, 7, 
2023/7/29, 58, 11, 25, 4, 
2023/7/30, 27, , , , 
2023/7/1, , 8, 34, 3, 
