date, pm25, pm10, o3, no2, so2
2021/6/1, 25, 9, 50, 2, 1
2021/6/2, 39, 7, 36, 1, 1
2021/6/3, 30, 8, 34, 1, 1
2021/6/4, 20, 5, 41, 1, 1
2021/6/5, 18, 7, 13, 1, 1
2021/6/6, 14, 23, 47, 3, 1
2021/6/7, 54, 22, 77, 3, 2
2021/6/8, 61, 17, 61, 1, 1
2021/6/9, 55, 16, 45, 2, 1
2021/6/10, 48, 12, 38, 2, 1
2021/6/11, 46, 9, 38, 2, 
2021/6/12, 32, 13, 40, 2, 1
2021/6/13, 42, 15, 35, 2, 1
2021/6/14, 52, 15, 43, 2, 1
2021/6/15, 47, 7, 27, 1, 1
2021/6/16, 30, 6, 27, 1, 
2021/6/17, 26, 8, 35, 1, 1
2021/6/18, 31, , , , 
2021/5/1, 38, 6, 43, 1, 1
2021/5/2, 33, 5, 41, 1, 
2021/5/3, 25, 12, 53, 1, 1
2021/5/4, 37, 11, 43, 1, 1
2021/5/5, 43, 6, 46, 1, 1
2021/5/6, 25, 9, 37, 3, 1
2021/5/7, 23, 18, 50, 3, 1
2021/5/8, 41, 25, 46, 1, 1
2021/5/9, 62, 7, 41, 1, 1
2021/5/10, 33, 8, 40, 2, 1
2021/5/11, 26, 6, 39, 2, 1
2021/5/12, 18, 8, 33, 2, 1
2021/5/13, 31, 8, 36, 1, 1
2021/5/14, 26, 11, 40, 1, 1
2021/5/15, 35, 11, 46, 1, 1
2021/5/16, 29, 12, 15, 3, 1
2021/5/17, 32, 8, 24, 2, 1
2021/5/18, 29, 7, 19, 5, 
2021/5/19, 31, 7, 34, 3, 1
2021/5/20, 25, 6, 19, 3, 1
2021/5/21, 24, 5, 33, 1, 
2021/5/22, 25, 8, 38, 2, 1
2021/5/23, 25, 12, 58, 3, 1
2021/5/24, 42, 14, 50, 2, 1
2021/5/25, 49, 10, 47, 1, 1
2021/5/26, 43, 11, 37, 2, 1
2021/5/27, 36, 11, 48, 3, 1
2021/5/28, 31, 15, 54, 2, 1
2021/5/29, 48, 8, 43, 1, 1
2021/5/30, 30, 5, 43, 1, 1
2021/5/31, 21, 7, 44, 1, 1
2021/4/1, 46, 7, 41, 1, 1
2021/4/2, 24, 12, 43, 1, 1
2021/4/3, 34, 18, 34, 3, 1
2021/4/4, 50, 9, 31, 2, 
2021/4/5, 22, 6, 34, 1, 1
2021/4/6, 20, 7, 38, 2, 1
2021/4/7, 25, 7, 46, 1, 1
2021/4/8, 26, 7, 41, 1, 1
2021/4/9, 28, 4, 38, 3, 1
2021/4/10, 21, 5, 42, 2, 1
2021/4/11, 24, 6, 42, 2, 1
2021/4/12, 26, 8, 38, 3, 1
2021/4/13, 30, 7, 36, 1, 1
2021/4/14, 23, 5, 40, 2, 1
2021/4/15, 22, 6, 38, 2, 1
2021/4/16, 23, 9, 36, 2, 1
2021/4/17, 28, 8, 41, 1, 1
2021/4/18, 33, 11, 42, 2, 1
2021/4/19, 36, 15, 58, 3, 1
2021/4/20, 51, 20, 51, 3, 1
2021/4/21, 63, 10, 41, 1, 1
2021/4/22, 38, 8, 38, 2, 1
2021/4/23, 30, 7, 43, 2, 1
2021/4/24, 27, 12, 43, 2, 1
2021/4/25, 39, 5, 35, 1, 1
2021/4/26, 27, 4, 40, 1, 1
2021/4/27, 20, 10, 46, 3, 1
2021/4/28, 36, 10, 29, 2, 1
2021/4/29, 26, 6, 44, 1, 1
2021/4/30, 22, 11, 55, 1, 1
2021/3/1, 27, 5, 30, 3, 1
2021/3/2, 18, 4, 35, 3, 1
2021/3/3, 16, 5, 36, 3, 1
2021/3/4, 21, 5, 6, 5, 1
2021/3/5, 16, 8, 34, 1, 1
2021/3/6, 18, 4, 36, 2, 1
2021/3/7, 22, 6, 21, 4, 1
2021/3/8, 31, 6, 31, 4, 1
2021/3/9, 26, 7, 39, 2, 1
2021/3/10, 28, 6, 37, 5, 1
2021/3/11, 26, 15, 36, 8, 1
2021/3/12, 50, 8, 34, 2, 1
2021/3/13, 29, 4, 38, 1, 1
2021/3/14, 17, 5, 37, 1, 1
2021/3/15, 26, 9, 40, 4, 1
2021/3/16, 34, 10, 27, 2, 
2021/3/17, 15, , , , 
2021/3/20, 27, 11, 31, 2, 1
2021/3/21, 21, 4, 32, 1, 
2021/3/22, 21, 9, 38, 4, 1
2021/3/23, 38, 12, 51, 5, 1
2021/3/24, 36, 11, 38, 6, 1
2021/3/25, 37, 12, 52, 2, 1
2021/3/26, 41, 12, 45, 3, 1
2021/3/27, 41, 13, 42, 2, 1
2021/3/28, 40, 7, 39, 2, 1
2021/3/29, 30, 45, 48, 1, 1
2021/3/30, 92, 44, 43, 2, 1
2021/3/31, 84, 16, 43, 2, 1
2021/2/1, 34, 10, 29, 3, 1
2021/2/2, 31, 3, 28, 3, 
2021/2/3, 21, 5, 34, 3, 1
2021/2/4, 26, 5, 33, 6, 1
2021/2/5, 29, 11, 38, 6, 1
2021/2/6, 45, 12, 44, 2, 1
2021/2/7, 46, 5, 30, 1, 
2021/2/8, 19, 4, 29, 3, 1
2021/2/9, 23, 6, 30, 7, 1
2021/2/10, 24, 7, 38, 4, 1
2021/2/11, 37, 12, 35, 6, 1
2021/2/12, 45, 12, 38, 8, 1
2021/2/13, 44, 16, 37, 6, 1
2021/2/14, 37, 11, 28, 6, 
2021/2/15, 30, 4, 35, 2, 
2021/2/16, 22, 5, 30, 3, 1
2021/2/17, 18, 3, 29, 2, 
2021/2/18, 18, 4, 31, 6, 1
2021/2/19, 21, 11, 36, 6, 1
2021/2/20, 44, 19, 47, 6, 1
2021/2/21, 64, 21, 50, 6, 2
2021/2/22, 66, 9, 35, 3, 
2021/2/23, 29, 4, 34, 1, 1
2021/2/24, 26, 4, 32, 5, 1
2021/2/25, 25, 5, 33, 3, 1
2021/2/26, 26, 5, 35, 1, 
2021/2/27, 26, 8, 36, 5, 1
2021/2/28, 33, 8, 34, 5, 1
2021/1/4, 17, 6, 21, 6, 1
2021/1/5, 28, 5, 25, 4, 1
2021/1/6, 22, 5, 28, 3, 1
2021/1/7, 29, 4, 26, 4, 1
2021/1/8, 15, 4, 25, 5, 1
2021/1/9, 22, 4, 26, 3, 
2021/1/10, 17, 7, 25, 3, 
2021/1/11, 28, 6, 16, 4, 
2021/1/12, 20, 6, 23, 5, 
2021/1/13, 25, 8, 28, 5, 1
2021/1/14, 40, 13, 22, 6, 
2021/1/15, 49, 12, 29, 4, 1
2021/1/16, 47, 5, 26, 1, 
2021/1/17, 28, 6, 26, 5, 1
2021/1/18, 26, 5, 30, 5, 
2021/1/19, 30, 4, 28, 6, 1
2021/1/20, 28, 11, 29, 8, 1
2021/1/21, 41, 12, 36, 5, 1
2021/1/22, 50, 12, 30, 3, 2
2021/1/23, 44, 6, 23, 1, 
2021/1/24, 23, 8, 29, 5, 1
2021/1/25, 29, 9, 28, 6, 1
2021/1/26, 36, 8, 30, 2, 1
2021/1/27, 25, 8, 27, 2, 1
2021/1/28, 27, 5, 29, 3, 
2021/1/29, 23, 4, 29, 4, 
2021/1/30, 19, 6, 31, 2, 1
2021/1/31, 32, 10, 23, 4, 1
2020/10/1, 35, 9, 36, 2, 1
2020/10/2, 33, 17, 35, 2, 1
2020/10/3, 48, 27, 29, 3, 1
2020/10/4, 73, 16, 25, 2, 1
2020/10/5, 50, 8, 24, 2, 1
2020/10/6, 28, 7, 27, 1, 1
2020/10/7, 22, 5, 21, 1, 1
2020/10/8, 17, 6, 20, 1, 1
2020/10/9, 24, 4, 17, 1, 1
2020/10/10, 17, 4, 20, 1, 1
2020/10/11, 17, 4, 18, 1, 1
2020/10/12, 14, 6, 21, 2, 1
2020/10/13, 22, 9, 27, 3, 1
2020/10/14, 31, 6, 26, 2, 1
2020/10/15, 26, 5, 26, 2, 1
2020/10/16, 23, 5, 15, 1, 1
2020/10/17, 20, 5, 27, 2, 1
2020/10/18, 24, 7, 9, 2, 1
2020/10/19, 28, 9, 31, 3, 1
2020/10/20, 31, 7, 32, 2, 1
2020/10/21, 31, 11, 25, 2, 1
2020/10/22, 31, 7, 20, 1, 1
2020/10/23, 21, 5, 23, 2, 1
2020/10/24, 19, 5, 28, 2, 1
2020/10/25, 16, 6, 31, 1, 1
2020/10/26, 24, 7, 29, 2, 1
2020/10/27, 24, 9, 27, 4, 1
2020/10/28, 24, 6, 30, 1, 1
2020/10/29, 32, 5, 26, 1, 1
2020/10/30, 20, 6, 29, 3, 1
2020/10/31, 20, 9, 29, 2, 1
2020/11/1, 37, 14, 21, 4, 1
2020/11/2, 43, 6, 22, 1, 1
2020/11/3, 22, 4, 21, 2, 1
2020/11/4, 14, 7, 24, 3, 1
2020/11/5, 25, 12, 10, 3, 1
2020/11/6, 37, 15, 31, 3, 1
2020/11/7, 45, 14, 33, 2, 1
2020/11/8, 46, 4, 24, 1, 1
2020/11/9, 21, 4, 22, 3, 1
2020/11/10, 19, 4, 27, 3, 1
2020/11/11, 18, 4, 29, 3, 1
2020/11/12, 26, 7, 25, 3, 1
2020/11/13, 27, 9, 29, 3, 1
2020/11/14, 34, 13, 30, 3, 1
2020/11/15, 42, 14, 30, 4, 1
2020/11/16, 47, 18, 33, 4, 1
2020/11/17, 60, 18, 32, 6, 1
2020/11/18, 52, 16, 34, 4, 1
2020/11/19, 47, 15, 22, 6, 
2020/11/20, 49, 4, 22, 3, 
2020/11/21, 22, 8, 25, 4, 1
2020/11/22, 33, 6, 27, 2, 
2020/11/23, 23, 5, 24, 2, 1
2020/11/24, 15, 4, 13, 3, 
2020/11/25, 17, 8, 18, 2, 
2020/11/26, 20, 6, 18, 4, 1
2020/11/27, 29, 6, 26, 2, 
2020/11/28, 25, 7, 22, 3, 1
2020/11/29, 25, 7, 24, 4, 1
2020/11/30, 23, 5, 23, 2, 1
2020/12/1, 16, 6, 19, 4, 
2020/12/2, 27, 5, 8, 2, 
2020/12/3, 20, , , , 
2020/12/24, 67, 6, 30, 4, 
2020/12/25, 24, 5, 27, 4, 1
2020/12/26, 27, 5, 26, 4, 1
2020/12/27, 25, 10, 27, 7, 
2020/12/28, 44, 9, 27, 5, 
2020/12/29, 31, 12, 26, 3, 
2020/12/30, 32, 3, 27, 3, 
2020/12/31, 20, 3, 25, 2, 
2021/1/1, 12, 2, 15, 1, 
2020/7/1, 28, 10, 39, 2, 1
2020/7/2, 41, 8, 25, 1, 1
2020/7/3, 21, 10, 17, 2, 1
2020/7/4, 17, 11, 23, 2, 1
2020/7/5, 30, 10, 10, 2, 1
2020/7/6, 25, 13, 9, 3, 1
2020/7/7, 29, 12, 33, 2, 1
2020/7/8, 26, 9, 19, 4, 1
2020/7/9, 21, 12, 20, 3, 1
2020/7/10, 26, 18, 12, 3, 1
2020/7/11, 33, 12, 26, 2, 1
2020/7/12, 31, 11, 27, 2, 1
2020/7/13, 32, 8, 19, 2, 1
2020/7/14, 23, 9, 15, 1, 1
2020/7/15, 21, 9, 14, 2, 1
2020/7/16, 18, 13, 10, 3, 1
2020/7/17, 28, 10, 14, 3, 1
2020/7/18, 16, 12, 38, 3, 1
2020/7/19, 27, 15, 37, 3, 1
2020/7/20, 39, 15, 24, 4, 1
2020/7/21, 38, 14, 22, 3, 1
