date, pm25, pm10, o3, no2, so2
2021/6/1, 53, 19, 55, 4, 
2021/6/2, 52, 15, 38, 3, 
2021/6/3, 40, 8, 30, 2, 
2021/6/4, 13, 9, 16, 2, 
2021/6/5, 20, 9, 46, 3, 
2021/6/6, 29, 10, 58, 4, 
2021/6/7, 34, 17, 76, 4, 3
2021/6/8, 54, 21, 90, 5, 3
2021/6/9, 64, 26, 57, 6, 1
2021/6/10, 62, 18, 36, 4, 1
2021/6/11, 49, 12, 29, 2, 1
2021/6/12, 39, 13, 34, 3, 1
2021/6/13, 41, 16, 24, 4, 1
2021/6/14, 38, 13, 29, 3, 1
2021/6/15, 33, 12, 24, 4, 1
2021/6/16, 20, 6, 35, 2, 
2021/6/17, 20, 11, 31, 1, 
2021/6/18, 23, , , , 
2021/5/1, 52, 10, 43, 1, 
2021/5/2, 36, 11, 48, 2, 
2021/5/3, 40, 10, 48, 4, 
2021/5/4, 36, 11, 46, 4, 
2021/5/5, 24, 11, 51, 5, 
2021/5/6, 37, 12, 40, 10, 1
2021/5/7, 41, 16, 45, 2, 1
2021/5/8, 43, 33, 69, 2, 1
2021/5/9, 78, 11, 44, 5, 1
2021/5/10, 46, 11, 54, 6, 2
2021/5/11, 43, 15, 33, 8, 1
2021/5/12, 44, 8, 47, 6, 1
2021/5/13, 23, 9, 41, 6, 
2021/5/14, 31, 10, 38, 3, 
2021/5/15, 31, 12, 27, 5, 
2021/5/16, 28, 14, 30, 1, 
2021/5/17, 29, 14, 29, 5, 
2021/5/18, 32, 16, 22, 7, 
2021/5/19, 37, 19, 14, 5, 
2021/5/20, 35, 9, 48, 1, 
2021/5/21, 20, 14, 47, 4, 
2021/5/22, 39, 13, 51, 3, 
2021/5/23, 45, 15, 39, 4, 
2021/5/24, 40, 15, 56, 2, 
2021/5/25, 44, 21, 49, 2, 
2021/5/26, 61, 11, 41, 3, 
2021/5/27, 24, 13, 48, 3, 
2021/5/28, 35, 17, 54, 1, 
2021/5/29, 54, 16, 54, 2, 
2021/5/30, 48, 14, 55, 5, 
2021/5/31, 45, 20, 58, 5, 
2021/4/1, 69, 30, 46, 5, 
2021/4/2, 73, 20, 39, 4, 
2021/4/3, 61, 17, 34, 6, 
2021/4/4, 39, 6, 39, 2, 
2021/4/5, 17, 9, 28, 6, 
2021/4/6, 29, 11, 41, 6, 
2021/4/7, 35, 12, 46, 5, 
2021/4/8, 47, 10, 43, 3, 
2021/4/9, 35, 7, 38, 4, 1
2021/4/10, 24, 9, 44, 4, 1
2021/4/11, 35, 9, 42, 2, 2
2021/4/12, 34, 8, 40, 7, 1
2021/4/13, 27, 11, 40, 5, 1
2021/4/14, 27, 8, 40, 4, 1
2021/4/15, 31, 10, 38, 6, 
2021/4/16, 32, 6, 27, 3, 
2021/4/17, 13, 16, 38, 1, 
2021/4/18, 45, 15, 46, 3, 
2021/4/19, 50, 13, 65, 3, 
2021/4/20, 51, 24, 71, 8, 
2021/4/21, 71, 11, 45, 8, 
2021/4/22, 48, 15, 42, 5, 
2021/4/23, 49, 16, 43, 5, 
2021/4/24, 47, 11, 46, 1, 
2021/4/25, 39, 8, 41, 2, 
2021/4/26, 32, 7, 44, 4, 
2021/4/27, 30, 10, 39, 1, 
2021/4/28, 22, 5, 34, 3, 
2021/4/29, 7, 15, 56, 1, 
2021/4/30, 45, 20, 51, 2, 
2021/3/1, 27, 6, 35, 1, 1
2021/3/2, 11, 6, 36, 3, 
2021/3/3, 23, 12, 26, 10, 1
2021/3/4, 38, 9, 21, 10, 1
2021/3/5, 23, 11, 39, 8, 1
2021/3/6, 34, 9, 35, 3, 1
2021/3/7, 33, 8, 30, 6, 1
2021/3/8, 27, 8, 26, 7, 2
2021/3/9, 30, 11, 41, 8, 1
2021/3/10, 41, 10, 32, 6, 1
2021/3/11, 32, 16, 30, 10, 1
2021/3/12, 51, 8, 39, 4, 
2021/3/13, 18, 13, 39, 2, 
2021/3/14, 42, 22, 48, 3, 1
2021/3/15, 65, 26, 45, 5, 2
2021/3/16, 72, 20, 37, 5, 1
2021/3/17, 61, 14, 39, 7, 1
2021/3/18, 51, 13, 36, 9, 1
2021/3/19, 45, 12, 40, 8, 2
2021/3/20, 44, 10, 31, 2, 1
2021/3/21, 21, 12, 37, 2, 
2021/3/22, 40, 10, 43, 3, 
2021/3/23, 41, 10, 44, 6, 2
2021/3/24, 37, 11, 35, 10, 1
2021/3/25, 35, 16, 46, 5, 1
2021/3/26, 54, 21, 55, 4, 3
2021/3/27, 64, 16, 51, 3, 1
2021/3/28, 40, 25, 61, 3, 2
2021/3/29, 59, 58, 56, 7, 1
2021/3/30, 114, 27, 47, 6, 
2021/3/31, 69, 25, 51, 9, 
2021/2/1, 43, 15, 36, 3, 1
2021/2/2, 41, 10, 35, 1, 
2021/2/3, 43, 12, 35, 4, 
2021/2/4, 43, 8, 39, 3, 
2021/2/5, 34, 8, 37, 5, 
2021/2/6, 32, 17, 41, 5, 
2021/2/7, 53, 18, 35, 3, 
2021/2/8, 54, 6, 31, 2, 
2021/2/9, 22, 7, 37, 2, 
2021/2/10, 30, 19, 42, 7, 1
2021/2/11, 60, 25, 35, 16, 3
2021/2/12, 76, 23, 32, 11, 1
2021/2/13, 62, 11, 34, 5, 2
2021/2/14, 33, 11, 39, 5, 1
2021/2/15, 25, 10, 37, 1, 1
2021/2/16, 31, 7, 34, 1, 1
