date, pm25, pm10, o3, no2, so2
2021/10/2, 15, 10, 44, 8, 1
2021/10/3, 27, 16, 26, 4, 1
2021/10/4, 40, , , , 
2021/9/2, 40, 8, 28, 8, 
2021/9/3, 20, 9, 21, 9, 
2021/9/4, 17, 9, 29, 6, 
2021/9/5, 15, 11, 33, 5, 
2021/9/6, 27, 11, 30, 9, 1
2021/9/7, 29, 14, 24, 9, 
2021/9/8, 35, 10, 31, 8, 
2021/9/9, 23, 8, 28, 11, 1
2021/9/10, 18, 8, 31, 9, 
2021/9/11, 19, 11, 34, 11, 1
2021/9/12, 30, 18, 39, 8, 1
2021/9/13, 45, 26, 21, 10, 1
2021/9/14, 62, 9, 17, 8, 
2021/9/15, 20, 8, 18, 8, 
2021/9/16, 18, 13, 27, 9, 1
2021/9/17, 36, 13, 32, 3, 1
2021/9/18, 22, 12, 31, 6, 
2021/9/19, 19, 13, 29, 5, 
2021/9/20, 26, 17, 41, 8, 1
2021/9/21, 43, 12, 27, 5, 1
2021/9/22, 34, 14, 48, 8, 1
2021/9/23, 41, 18, 54, 8, 1
2021/9/24, 48, 11, 32, 10, 1
2021/9/25, 31, , , , 
2021/9/28, 49, 13, 29, 10, 1
2021/9/29, 36, 11, 35, 6, 1
2021/9/30, 28, 11, 26, 8, 1
2021/10/1, 27, 9, 35, 6, 1
2021/8/2, 21, 12, 33, 6, 1
2021/8/3, 29, 18, 25, 10, 1
2021/8/4, 45, 17, 33, 10, 1
2021/8/5, 48, 12, 32, 8, 1
2021/8/6, 33, 13, 36, 5, 1
2021/8/7, 40, 9, 29, 4, 1
2021/8/8, 25, 11, 20, 3, 1
2021/8/9, 23, 14, 32, 7, 1
2021/8/10, 18, 19, 34, 11, 1
2021/8/11, 39, 16, 32, 6, 1
2021/8/12, 35, 3, 17, 7, 1
2021/8/13, 5, 5, 29, 7, 
2021/8/14, 7, 4, 29, 10, 
2021/8/15, 6, 8, 41, 5, 1
2021/8/16, 12, 7, 19, 6, 1
2021/8/17, 13, 4, 23, 6, 
2021/8/18, 7, 6, 26, 8, 1
2021/8/19, 8, 8, 35, 10, 1
2021/8/20, 17, 12, 27, 8, 1
2021/8/21, 28, 10, 12, 3, 1
2021/8/22, 21, 9, 5, 4, 1
2021/8/23, 13, 16, 9, 3, 1
2021/8/24, 30, 12, 14, 3, 1
2021/8/25, 22, 10, 10, 4, 1
2021/8/26, 22, 12, 27, 11, 1
2021/8/27, 24, 12, 10, 9, 1
2021/8/28, 28, 9, 15, 6, 1
2021/8/29, 21, 8, 18, 4, 1
2021/8/30, 18, 11, 14, 8, 1
2021/8/31, 23, 11, 22, 8, 2
2021/9/1, 26, 13, 12, 8, 1
2021/7/2, 32, 11, 27, 13, 1
2021/7/3, 25, 15, 26, 9, 1
2021/7/4, 31, 11, 11, 1, 1
2021/7/5, 25, 12, 8, 5, 1
2021/7/6, 25, 10, 8, 3, 1
2021/7/7, 21, 11, 8, 4, 1
2021/7/8, 23, 14, 25, 8, 1
2021/7/9, 32, 13, 35, 11, 1
2021/7/10, 27, 9, 37, 4, 1
2021/7/11, 23, 9, 29, 3, 1
2021/7/12, 21, 9, 13, 7, 1
2021/7/13, 20, 9, 15, 7, 1
2021/7/14, 21, 9, 14, 6, 1
2021/7/15, 21, 12, 29, 10, 1
2021/7/16, 32, 11, 32, 5, 1
2021/7/17, 29, 7, 17, 5, 1
2021/7/18, 18, 7, 21, 3, 1
2021/7/19, 18, 10, 16, 5, 1
2021/7/20, 24, 9, 25, 5, 1
2021/7/21, 28, 10, 27, 5, 1
2021/7/22, 29, 9, 26, 4, 1
