date, pm25, pm10, so2
2023/12/2, 41, 14, 1
2023/12/3, 31, 16, 6
2023/12/4, 39, 16, 1
2023/12/5, 37, 17, 9
2023/12/6, 32, 20, 8
2023/12/7, 47, 23, 
2023/12/8, 59, 20, 3
2023/12/9, 52, 27, 6
2023/12/10, 61, 29, 16
2023/12/11, 58, 53, 
2023/12/12, 51, 20, 
2023/12/13, 31, 14, 
2023/12/14, 25, 22, 10
2023/12/15, 48, 11, 
2023/12/16, 25, 12, 3
2023/12/17, 24, 6, 
2023/12/18, 12, 7, 
2023/12/19, 13, 11, 
2023/12/20, 24, 26, 14
2023/12/21, 55, 33, 3
2023/12/22, 32, 20, 
2023/12/23, 25, 24, 6
2023/12/24, 44, 31, 
2023/12/25, 62, , 
2023/11/2, 67, 22, 
2023/11/3, 42, 19, 4
2023/11/4, 37, 18, 
2023/11/5, 33, 16, 
2023/11/6, 21, 15, 1
2023/11/7, 18, 18, 10
2023/11/8, 27, 41, 
2023/11/9, 76, 25, 1
2023/11/10, 52, 17, 12
2023/11/11, 51, 16, 
2023/11/12, 44, 15, 3
2023/11/13, 41, 20, 1
2023/11/14, 46, 21, 
2023/11/15, 51, 23, 6
2023/11/16, 51, 38, 10
2023/11/17, 78, 23, 
2023/11/18, 39, 13, 
2023/11/19, 27, 12, 4
2023/11/20, 26, 11, 6
2023/11/21, 28, 17, 5
2023/11/22, 32, 19, 4
2023/11/23, 43, 19, 6
2023/11/24, 52, 14, 10
2023/11/25, 34, 11, 14
2023/11/26, 22, 18, 4
2023/11/27, 37, 10, 3
2023/11/28, 23, 13, 4
2023/11/29, 28, 15, 8
2023/11/30, 30, 13, 1
2023/12/1, 22, 24, 2
2023/10/2, 41, 14, 
2023/10/3, 23, 16, 2
2023/10/4, 25, 50, 8
2023/10/5, 45, 22, 
2023/10/6, 19, 16, 
2023/10/7, 12, 15, 
2023/10/8, 24, 23, 8
2023/10/9, 51, 16, 
2023/10/10, 43, 17, 1
2023/10/11, 45, 13, 
2023/10/12, 29, 13, 
2023/10/13, 24, 25, 
2023/10/14, 30, 18, 
2023/10/15, 19, 11, 7
2023/10/16, 15, 12, 
2023/10/17, 16, 14, 
2023/10/18, 19, 16, 2
2023/10/19, 31, 18, 17
2023/10/20, 36, 18, 18
2023/10/21, 34, 15, 32
2023/10/22, 21, 24, 
2023/10/23, 38, 22, 3
2023/10/24, 43, 26, 2
2023/10/25, 51, 36, 
2023/10/26, 39, 29, 
2023/10/27, 27, 27, 
2023/10/28, 46, 49, 
2023/10/29, 102, 48, 8
2023/10/30, 103, 41, 
2023/10/31, 78, 33, 5
2023/11/1, 72, 34, 13
2023/7/2, 7, 5, 1
2023/7/3, 10, 3, 
2023/7/4, 8, 5, 32
2023/7/5, 12, 10, 31
2023/7/6, 23, 11, 31
2023/7/7, 22, 6, 
2023/7/8, 11, 8, 
2023/7/9, 11, 7, 
2023/7/10, 11, 6, 
2023/7/11, 7, 8, 
2023/7/12, 9, 10, 
2023/7/13, 15, 9, 
2023/7/14, 14, 10, 
2023/7/15, 17, 11, 
2023/7/16, 21, , 
2023/7/18, 10, 15, 
2023/7/19, 15, 9, 
2023/7/20, 13, 13, 11
2023/7/21, 24, 13, 
2023/7/22, 18, 11, 
2023/7/23, 15, 20, 
2023/7/24, 16, 13, 
2023/7/25, 11, 17, 
2023/7/26, 14, 8, 
2023/7/27, 12, 9, 
2023/7/28, 13, 11, 2
2023/7/29, 18, 12, 
2023/7/30, 20, 12, 
2023/7/31, 19, 11, 
2023/8/1, 12, 13, 
2023/8/2, 17, 16, 
2023/8/3, 16, 12, 
2023/8/4, 18, 13, 
2023/8/5, 19, 15, 
2023/8/6, 15, 12, 
2023/8/7, 16, 13, 
2023/8/8, 16, 13, 
2023/8/9, 21, 15, 
2023/8/10, 22, 14, 
2023/8/11, 22, 17, 
2023/8/12, 26, 22, 10
2023/8/13, 29, 16, 7
2023/8/14, 29, 22, 5
2023/8/15, 30, 21, 3
2023/8/16, 34, 19, 
2023/8/17, 34, 23, 1
2023/8/18, 37, 18, 
2023/8/19, 18, 11, 
2023/8/20, 13, 9, 
2023/8/21, 10, 17, 
2023/8/22, 25, 15, 1
2023/8/23, 21, 11, 
2023/8/24, 14, 12, 
2023/8/25, 16, 13, 
2023/8/26, 20, 16, 
2023/8/27, 21, 16, 
2023/8/28, 26, 16, 
2023/8/29, 25, 19, 
2023/8/30, 30, 21, 
2023/8/31, 22, 17, 
2023/9/1, 18, 12, 
2023/9/2, 13, 17, 21
2023/9/3, 24, 18, 2
2023/9/4, 25, 22, 
2023/9/5, 41, 27, 4
2023/9/6, 50, 21, 
2023/9/7, 37, 30, 
2023/9/8, 54, 48, 
2023/9/9, 37, 14, 
2023/9/10, 18, 13, 
2023/9/11, 17, 22, 
2023/9/12, 39, 22, 
2023/9/13, 45, 19, 
2023/9/14, 31, 22, 
2023/9/15, 39, 22, 
2023/9/16, 43, 26, 
2023/9/17, 48, 19, 
2023/9/18, 34, 17, 
2023/9/19, 31, 19, 4
2023/9/20, 33, 19, 1
2023/9/21, 32, 26, 7
2023/9/22, 39, 19, 
2023/9/23, 25, 18, 20
2023/9/24, 25, 18, 
2023/9/25, 31, 18, 3
2023/9/26, 30, 15, 
2023/9/27, 20, 15, 
2023/9/28, 21, 19, 
2023/9/29, 22, 17, 
2023/9/30, 25, 19, 
2023/10/1, 30, 21, 
2023/4/2, 9, 8, 
2023/4/3, 8, 9, 
2023/4/4, 8, 11, 
2023/4/5, 11, 11, 1
2023/4/6, 12, 14, 11
2023/4/7, 21, 14, 6
2023/4/8, 20, 13, 1
2023/4/9, 15, 11, 1
2023/4/10, 15, 11, 1
2023/4/11, 19, 14, 1
2023/4/12, 20, 15, 1
2023/4/13, 17, 15, 1
2023/4/14, 18, 16, 12
2023/4/15, 22, 22, 1
2023/4/16, 30, 8, 1
2023/4/17, 13, 7, 1
2023/4/18, 9, 11, 2
2023/4/19, 13, 7, 
2023/4/20, 11, 10, 
2023/4/21, 12, 13, 
2023/4/22, 19, 12, 
2023/4/23, 18, 12, 
2023/4/24, 15, 12, 
2023/4/25, 14, 12, 
2023/4/26, 18, 12, 
2023/4/27, 19, 13, 
2023/4/28, 18, 12, 185
2023/4/29, 18, 15, 3
2023/4/30, 16, 9, 
2023/5/1, 14, 8, 
2023/5/2, 12, 9, 
2023/5/3, 10, 10, 
2023/5/4, 9, 11, 
2023/5/5, 15, 13, 
2023/5/6, 17, 10, 
2023/5/7, 12, 21, 
2023/5/8, 18, 11, 
