date, pm25, pm10, o3, no2
2022/2/2, 47, 22, 36, 8
2022/2/3, 75, 16, 35, 6
2022/2/4, 62, 9, 35, 5
2022/2/5, 40, 9, 34, 2
2022/2/6, 37, 8, 34, 2
2022/2/7, 32, 9, 34, 5
2022/2/8, 39, 11, 28, 8
2022/2/9, 43, 8, 31, 7
2022/2/10, 38, 10, 29, 8
2022/2/11, 44, 10, 32, 8
2022/2/12, 39, 11, 32, 9
2022/2/13, 44, 9, 31, 5
2022/2/14, 38, 11, 31, 9
2022/2/15, 40, 18, 36, 7
2022/2/16, 64, 8, 34, 2
2022/2/17, 32, 7, 34, 2
2022/2/18, 33, 7, 33, 6
2022/2/19, 27, 8, 18, 8
2022/2/20, 34, 6, 33, 3
2022/2/21, 30, 8, 33, 4
2022/2/22, 30, 8, 35, 6
2022/2/23, 32, 9, 35, 3
2022/2/24, 33, 7, 36, 5
2022/2/25, 32, 12, 37, 7
2022/2/26, 51, 17, 21, 7
2022/2/27, 66, , , 
2022/2/1, , 12, 35, 5
