date, pm25, pm10, o3, no2, so2
2021/6/1, 63, 19, 43, 4, 1
2021/6/2, 61, 8, 29, 2, 
2021/6/3, 25, 5, 29, 4, 1
2021/6/4, 35, 11, 42, 2, 1
2021/6/5, 36, 11, 38, 1, 1
2021/6/6, 35, 12, 38, 3, 1
2021/6/7, 36, 11, 39, 3, 3
2021/6/8, 38, 25, 50, 3, 2
2021/6/9, 76, 24, 47, 2, 1
2021/6/10, 70, 14, 40, 2, 1
2021/6/11, 44, 6, 21, 1, 1
2021/6/12, 24, 6, 25, 1, 
2021/6/13, 23, 15, 26, 1, 2
2021/6/14, 48, 13, 28, 1, 2
2021/6/15, 38, 5, 24, 3, 1
2021/6/16, 23, 9, 29, 2, 1
2021/6/17, 33, 8, 25, 2, 
2021/6/18, 24, , , , 
2021/5/1, 45, 10, 43, 1, 1
2021/5/2, 44, 8, 43, 2, 2
2021/5/3, 35, 10, 44, 1, 2
2021/5/4, 33, 13, 40, 2, 1
2021/5/5, 46, 13, 46, 3, 1
2021/5/6, 44, 14, 44, 2, 1
2021/5/7, 42, 24, 72, 1, 
2021/5/8, 64, 28, 68, 1, 1
2021/5/9, 77, 31, 65, 3, 1
2021/5/10, 78, 21, 29, 5, 1
2021/5/11, 59, 9, 34, 4, 
2021/5/12, 34, 7, 39, 3, 
2021/5/13, 26, 18, 33, 3, 1
2021/5/14, 46, 7, 31, 1, 
2021/5/15, 23, 10, 15, 1, 
2021/5/16, 39, 10, 33, 1, 
2021/5/17, 35, 9, 37, 2, 
2021/5/18, 34, 8, 46, 2, 1
2021/5/19, 29, 9, 36, 2, 1
2021/5/20, 27, 10, 49, 2, 1
2021/5/21, 36, 9, 51, 2, 1
2021/5/22, 39, 10, 46, 2, 1
2021/5/23, 41, 9, 38, 3, 1
2021/5/24, 30, 21, 54, 3, 1
2021/5/25, 58, 17, 34, 4, 1
2021/5/26, 51, 5, 45, 2, 1
2021/5/27, 28, 14, 53, 3, 
2021/5/28, 46, 14, 62, 2, 1
2021/5/29, 45, 11, 50, 2, 1
2021/5/30, 39, 16, 58, 4, 1
2021/5/31, 52, 20, 67, 5, 1
2021/4/10, 45, 9, 45, 3, 1
2021/4/11, 41, 11, 33, 3, 1
2021/4/12, 38, 9, 36, 4, 1
2021/4/13, 27, 10, 37, 3, 
2021/4/14, 32, 8, 42, 4, 2
2021/4/15, 36, 10, 36, 5, 1
2021/4/16, 31, 14, 38, 3, 1
2021/4/17, 44, 8, 38, 1, 
2021/4/18, 32, 10, 50, 4, 1
2021/4/19, 35, 11, 62, 5, 1
2021/4/20, 42, 16, 63, 5, 3
2021/4/21, 53, 18, 56, 5, 2
2021/4/22, 62, 14, 47, 6, 1
2021/4/23, 55, 13, 40, 2, 1
2021/4/24, 48, 12, 40, 2, 1
2021/4/25, 39, 7, 37, 3, 1
2021/4/26, 31, 9, 41, 3, 2
2021/4/27, 31, 9, 37, 2, 1
2021/4/28, 33, 7, 40, 3, 1
2021/4/29, 30, 20, 69, 2, 1
2021/4/30, 63, 12, 50, 1, 1
2021/3/1, 22, 5, 31, 2, 
2021/3/2, 24, 9, 25, 5, 1
2021/3/3, 35, 9, 26, 6, 1
2021/3/4, 39, 5, 24, 5, 
2021/3/5, 19, 9, 32, 4, 
2021/3/6, 40, 12, 33, 3, 
2021/3/7, 44, 9, 30, 4, 1
2021/3/8, 34, 8, 29, 5, 1
2021/3/9, 33, 13, 44, 6, 1
2021/3/10, 50, 18, 43, 7, 4
2021/3/11, 63, 10, 39, 3, 1
2021/3/12, 40, 10, 38, 2, 1
2021/3/13, 47, 19, 47, 3, 1
2021/3/14, 67, 17, 45, 6, 1
2021/3/15, 57, 14, 42, 5, 1
2021/3/16, 53, 18, 40, 4, 1
2021/3/17, 50, 19, 39, 6, 7
2021/3/18, 56, 20, 30, 7, 2
2021/3/19, 61, 12, 32, 3, 1
2021/3/20, 44, 10, 39, 2, 1
2021/3/21, 41, 12, 35, 4, 
2021/3/22, 40, 12, 43, 4, 
2021/3/23, 39, 14, 43, 4, 
2021/3/24, 43, 13, 45, 4, 1
2021/3/25, 44, 12, 52, 6, 2
2021/3/26, 41, 15, 45, 4, 3
2021/3/27, 51, 15, 45, 4, 1
2021/3/28, 48, 19, 15, 4, 
2021/3/29, 49, , , , 
2021/2/1, 44, 14, 32, 3, 1
2021/2/2, 47, 8, 31, 4, 1
2021/2/3, 35, 9, 31, 7, 1
2021/2/4, 40, 10, 25, 8, 1
2021/2/5, 38, 8, 29, 5, 1
2021/2/6, 37, 20, 43, 5, 1
2021/2/7, 64, 13, 32, 5, 1
2021/2/8, 46, 6, 27, 6, 1
2021/2/9, 24, 6, 31, 6, 1
2021/2/10, 29, 11, 36, 6, 1
2021/2/11, 45, 19, 25, 11, 2
2021/2/12, 69, 11, 29, 6, 1
2021/2/13, 42, 7, 24, 3, 1
2021/2/14, 34, 8, 34, 2, 1
2021/2/15, 38, 7, 32, 2, 
2021/2/16, 26, 7, 33, 1, 
2021/2/17, 33, 8, 29, 3, 
2021/2/18, 33, 8, 34, 5, 
2021/2/19, 36, 14, 48, 5, 1
2021/2/20, 52, 15, 46, 3, 
2021/2/21, 47, 12, 38, 5, 
2021/2/22, 39, 12, 34, 4, 
