date, pm25
2023/6/2, 57
2023/6/3, 48
2023/6/4, 57
2023/6/5, 35
2023/6/6, 40
2023/6/7, 47
2023/6/8, 66
2023/6/9, 63
2023/6/10, 35
2023/6/11, 60
2023/6/12, 55
2023/6/13, 56
2023/6/14, 21
2023/6/15, 62
2023/6/16, 62
2023/6/17, 59
2023/6/18, 133
2023/5/2, 71
2023/5/3, 69
2023/5/4, 85
2023/5/5, 92
2023/5/6, 102
2023/5/7, 101
2023/5/8, 103
2023/5/9, 68
2023/5/10, 67
2023/5/11, 111
2023/5/13, 60
2023/5/14, 80
2023/5/15, 51
2023/5/16, 42
2023/5/17, 59
2023/5/18, 60
2023/5/19, 59
2023/5/20, 68
2023/5/21, 59
2023/5/22, 59
2023/5/23, 53
2023/5/24, 103
2023/5/25, 100
2023/5/26, 76
2023/5/27, 69
2023/5/28, 54
2023/5/29, 58
2023/5/30, 62
2023/5/31, 52
2023/6/1, 68
2023/4/2, 65
2023/4/3, 69
2023/4/4, 64
2023/4/5, 58
2023/4/6, 60
2023/4/7, 67
2023/4/8, 54
2023/4/9, 49
2023/4/10, 49
2023/4/11, 37
2023/4/12, 32
2023/4/13, 20
2023/4/14, 53
2023/4/15, 45
2023/4/16, 46
2023/4/17, 66
2023/4/18, 47
2023/4/19, 36
2023/4/20, 56
2023/4/21, 54
2023/4/22, 44
2023/4/23, 67
2023/4/24, 69
2023/4/25, 56
2023/4/26, 61
2023/4/27, 55
2023/4/28, 68
2023/4/29, 50
2023/4/30, 68
2023/5/1, 57
2023/1/3, 40
2023/1/4, 49
2023/1/5, 63
2023/1/6, 59
2023/1/7, 44
2023/1/8, 63
2023/1/9, 76
2023/1/10, 57
2023/1/11, 82
2023/1/12, 89
2023/1/13, 78
2023/1/14, 54
2023/1/15, 32
2023/1/16, 82
2023/1/17, 64
2023/1/18, 81
2023/1/19, 62
2023/1/20, 79
2023/1/21, 71
2023/1/22, 70
2023/1/23, 56
2023/1/24, 54
2023/1/25, 55
2023/1/26, 50
2023/1/27, 63
2023/1/28, 50
2023/1/29, 56
2023/1/30, 47
2023/1/31, 43
2023/2/1, 69
2023/2/2, 70
2023/2/3, 57
2023/2/4, 61
2023/2/6, 33
2023/2/7, 51
2023/2/8, 71
2023/2/9, 57
2023/2/10, 61
2023/2/11, 72
2023/2/12, 41
2023/2/13, 38
2023/2/25, 51
2023/3/6, 69
2023/3/9, 46
2023/3/10, 83
2023/3/24, 35
2023/3/28, 74
2023/3/29, 53
2023/3/30, 73
2023/3/31, 57
2023/4/1, 56
2022/10/2, 17
2022/10/3, 34
2022/10/4, 45
2022/10/5, 38
2022/10/6, 40
2022/10/7, 32
2022/10/8, 18
2022/10/9, 18
2022/10/10, 14
2022/10/11, 13
2022/10/12, 21
2022/10/13, 29
2022/10/14, 28
2022/10/15, 38
2022/10/16, 33
2022/10/17, 40
2022/10/18, 53
2022/10/19, 34
2022/10/20, 14
2022/10/21, 27
2022/10/22, 26
2022/10/23, 45
2022/10/24, 38
2022/10/26, 42
2022/10/27, 46
2022/10/28, 45
2022/10/29, 55
2022/10/30, 57
2022/10/31, 51
2022/11/1, 51
2022/11/2, 44
2022/11/3, 54
2022/11/4, 50
2022/11/5, 62
2022/11/6, 42
2022/11/7, 50
2022/11/8, 47
2022/11/9, 37
2022/11/10, 34
2022/11/11, 60
2022/11/12, 57
2022/11/13, 70
2022/11/14, 61
2022/11/15, 57
2022/11/16, 63
2022/11/17, 63
2022/11/18, 58
2022/11/19, 44
2022/11/20, 57
2022/11/21, 33
2022/11/22, 27
2022/11/23, 38
2022/11/24, 48
2022/11/25, 50
2022/11/26, 51
2022/11/27, 40
2022/11/28, 44
2022/11/29, 38
2022/11/30, 48
2022/12/1, 60
2022/12/2, 19
2022/12/3, 31
2022/12/4, 19
2022/12/5, 21
2022/12/6, 52
2022/12/7, 78
2022/12/8, 84
2022/12/9, 67
2022/12/10, 68
2022/12/11, 76
2022/12/12, 81
2022/12/13, 86
2022/12/14, 80
2022/12/15, 67
2022/12/16, 89
2022/12/17, 82
2022/12/18, 86
2022/12/19, 81
2022/12/20, 68
2022/12/21, 85
2022/12/22, 40
2022/12/23, 79
2022/12/24, 98
2022/12/25, 88
2022/12/26, 86
2022/12/27, 38
2022/12/28, 38
2022/12/29, 83
2022/12/30, 50
2022/12/31, 70
2023/1/1, 68
2023/1/2, 78
2022/7/12, 30
2022/8/6, 52
2022/8/9, 5
2022/8/11, 25
2022/9/13, 17
2022/9/15, 25
2022/9/16, 29
2022/9/17, 16
2022/9/18, 12
2022/9/19, 14
2022/9/20, 16
2022/9/21, 18
2022/9/23, 19
2022/9/24, 15
2022/9/25, 24
2022/9/26, 19
2022/9/27, 24
2022/9/28, 12
2022/9/29, 22
2022/9/30, 20
2022/10/1, 17
2022/4/2, 87
2022/4/3, 70
2022/4/4, 78
2022/4/5, 78
2022/4/6, 76
2022/4/7, 54
2022/4/8, 81
2022/4/12, 44
2022/4/13, 33
2022/4/14, 24
2022/4/15, 54
2022/4/16, 34
2022/4/17, 46
2022/4/18, 42
2022/4/19, 68
2022/4/20, 62
2022/4/21, 48
2022/4/22, 53
2022/4/23, 42
2022/4/24, 55
2022/4/25, 61
2022/4/26, 58
2022/4/28, 24
2022/4/29, 47
2022/4/30, 51
2022/5/1, 64
2022/5/2, 89
2022/5/3, 78
2022/5/4, 71
2022/5/5, 81
2022/5/6, 81
2022/5/7, 96
2022/5/8, 88
2022/5/9, 79
2022/5/10, 78
2022/5/11, 81
2022/5/12, 70
2022/5/13, 46
2022/5/16, 62
2022/5/17, 52
2022/5/18, 64
2022/5/19, 59
2022/5/20, 53
2022/5/21, 92
2022/5/22, 76
2022/5/23, 80
2022/5/24, 88
2022/5/25, 92
2022/5/26, 57
2022/5/27, 86
2022/5/28, 78
2022/5/29, 60
2022/5/30, 76
2022/5/31, 50
2022/6/1, 60
2022/6/2, 62
2022/6/3, 32
2022/6/4, 42
2022/6/5, 52
2022/6/6, 60
2022/6/17, 59
2022/6/28, 42
2022/1/4, 42
2022/1/5, 70
2022/1/6, 69
2022/1/7, 64
2022/1/8, 62
2022/1/9, 65
2022/1/10, 69
2022/1/11, 44
2022/1/12, 18
2022/1/13, 38
2022/1/14, 58
2022/1/15, 45
2022/1/16, 55
2022/1/17, 44
2022/1/18, 48
2022/1/19, 63
2022/1/20, 46
2022/1/21, 54
2022/1/22, 56
2022/1/23, 54
2022/1/26, 17
2022/1/27, 41
2022/1/28, 50
2022/1/29, 30
2022/1/30, 41
2022/2/2, 48
2022/2/3, 38
2022/2/4, 42
2022/2/5, 39
2022/2/6, 50
2022/2/7, 46
2022/2/8, 27
2022/2/9, 35
2022/2/10, 54
2022/2/11, 43
2022/2/12, 49
2022/2/13, 31
2022/2/14, 33
2022/2/15, 23
2022/2/16, 45
2022/2/17, 40
2022/2/18, 45
2022/2/19, 55
2022/2/20, 58
2022/2/21, 47
2022/2/22, 38
2022/2/23, 46
2022/2/24, 64
2022/2/25, 62
2022/2/26, 62
2022/2/27, 49
2022/2/28, 40
2022/3/1, 24
2022/3/2, 40
2022/3/3, 44
2022/3/11, 41
2022/3/12, 42
2022/3/13, 55
2022/3/14, 39
2022/3/15, 44
2022/3/26, 37
2022/3/27, 45
2022/3/28, 48
2022/3/29, 53
2022/3/30, 56
2022/3/31, 49
2022/4/1, 47
2021/10/5, 24
2021/10/6, 18
2021/10/7, 5
2021/10/12, 15
2021/10/13, 16
2021/10/14, 29
2021/10/15, 24
2021/10/18, 9
2021/10/19, 16
2021/10/20, 30
2021/10/28, 25
2021/10/29, 55
2021/10/30, 48
2021/10/31, 40
2021/11/2, 50
2021/11/3, 29
2021/11/4, 26
2021/11/5, 48
2021/11/6, 28
2021/11/7, 20
2021/11/8, 17
2021/11/11, 72
2021/11/12, 62
2021/11/13, 44
2021/11/14, 29
2021/11/15, 33
2021/11/16, 19
2021/11/17, 29
2021/11/18, 54
2021/11/19, 66
2021/11/20, 23
2021/11/21, 34
2021/11/22, 43
2021/11/23, 41
2021/11/24, 29
2021/11/25, 48
2021/11/26, 36
2021/11/27, 46
2021/11/28, 49
2021/11/29, 56
2021/11/30, 56
2021/12/1, 54
2021/12/2, 70
2021/12/3, 21
2021/12/4, 32
2021/12/5, 45
2021/12/6, 43
2021/12/7, 54
2021/12/8, 61
2021/12/9, 53
2021/12/10, 64
2021/12/11, 54
2021/12/12, 82
2021/12/13, 70
2021/12/14, 67
2021/12/15, 42
2021/12/16, 45
2021/12/17, 97
2021/12/18, 95
2021/12/19, 73
2021/12/20, 58
2021/12/21, 57
2021/12/22, 59
2021/12/23, 93
2021/12/24, 120
2021/12/25, 125
2021/12/26, 122
2021/12/27, 79
2021/12/28, 85
2021/12/29, 71
2021/12/30, 68
2021/12/31, 84
2022/1/1, 78
2022/1/2, 73
2021/7/2, 18
2021/7/3, 18
2021/7/4, 30
2021/7/5, 27
2021/7/6, 17
2021/7/7, 18
2021/7/8, 15
2021/7/9, 26
2021/7/10, 26
2021/7/13, 40
2021/7/14, 26
2021/7/16, 34
2021/7/17, 31
2021/7/18, 62
2021/7/19, 50
2021/7/20, 38
2021/7/21, 63
2021/7/22, 48
2021/7/23, 51
2021/7/24, 53
2021/7/25, 45
2021/7/26, 40
2021/7/27, 37
2021/7/28, 37
2021/7/29, 39
2021/7/30, 43
2021/8/2, 50
2021/8/3, 40
2021/8/4, 57
2021/8/9, 35
2021/8/10, 21
2021/8/13, 45
2021/8/14, 34
2021/8/16, 40
2021/8/17, 26
2021/8/18, 25
2021/8/19, 36
2021/8/20, 46
2021/8/21, 36
2021/8/22, 15
2021/8/23, 15
2021/8/24, 25
2021/8/25, 32
2021/8/26, 26
2021/8/27, 45
2021/8/28, 56
2021/8/29, 42
2021/8/30, 14
2021/8/31, 20
2021/9/1, 11
2021/9/2, 25
2021/9/3, 19
2021/9/4, 24
2021/9/5, 20
2021/9/6, 28
2021/9/7, 26
2021/9/8, 17
2021/9/9, 23
2021/9/10, 23
2021/9/11, 34
2021/9/12, 37
2021/9/13, 14
2021/9/14, 19
