date, pm10, o3, no2, so2
2023/3/2, 33, 17, 2, 4
2023/3/3, 29, 27, 2, 3
2023/3/4, 17, 18, 3, 3
2023/3/5, 23, 28, 1, 3
2023/3/6, 16, 34, 5, 3
2023/3/7, 48, 25, 3, 3
2023/3/8, 19, 31, 4, 4
2023/3/9, 7, 35, , 3
2023/3/10, 9, 33, 2, 3
2023/3/11, 12, 32, 3, 3
2023/3/12, 14, 38, 1, 3
2023/3/13, 20, 34, 5, 4
2023/3/14, 19, 21, 4, 3
2023/3/15, 6, 20, , 4
2023/3/16, 13, 23, , 4
2023/3/17, 15, 23, 1, 3
2023/3/18, 15, 26, 2, 3
2023/3/19, 14, 21, 1, 3
2023/3/20, 14, 18, 3, 3
2023/3/21, 6, 15, 4, 2
2023/3/22, 5, 28, 4, 3
2023/3/23, 7, 36, 2, 3
2023/3/24, 999, 36, 2, 3
2023/3/25, 999, 29, , 3
2023/3/26, 999, 22, , 3
2023/3/27, 999, , , 
2023/2/2, 13, 28, 4, 3
2023/2/3, 17, 31, 6, 3
2023/2/4, 8, 30, 10, 3
2023/2/5, 4, 29, 13, 4
2023/2/6, 8, 27, 13, 4
2023/2/7, 11, 29, 5, 3
2023/2/8, 10, 32, 7, 2
2023/2/9, 9, 32, 11, 2
2023/2/11, 4, 35, 7, 3
2023/2/12, 8, 34, 8, 3
2023/2/13, 6, 33, 9, 3
2023/2/14, 12, 30, 10, 3
2023/2/15, 17, 32, 7, 3
2023/2/16, 5, 30, 6, 2
2023/2/17, 6, 36, 3, 5
2023/2/18, 5, 32, 10, 3
2023/2/19, 3, 31, 6, 5
2023/2/20, 6, 32, 3, 4
2023/2/21, 7, 26, 6, 3
2023/2/22, 7, 27, 3, 4
2023/2/23, 5, 25, 6, 4
2023/2/24, 13, 29, 4, 3
2023/2/25, 7, 31, 4, 3
2023/2/26, 3, 30, 3, 4
2023/2/27, 10, 28, 2, 3
2023/2/28, 12, 26, 1, 4
2023/3/1, 16, 25, 1, 5
2023/1/3, 11, 14, 24, 7
2023/1/4, 14, 16, 21, 7
2023/1/5, 12, 20, 12, 5
2023/1/6, 10, 22, 9, 5
2023/1/7, 8, 24, 4, 4
2023/1/8, 6, 22, 6, 5
2023/1/9, 5, 21, 10, 4
2023/1/10, 5, 22, 18, 6
2023/1/11, 6, 24, 14, 5
2023/1/12, 11, 20, 20, 6
2023/1/13, 13, 21, 20, 5
2023/1/14, 13, 26, 19, 10
2023/1/15, 11, 22, 18, 5
2023/1/16, 1, 18, 22, 5
2023/1/26, 14, 27, 10, 3
2023/1/27, 10, 26, 14, 4
2023/1/28, 11, 24, 15, 4
2023/1/29, 13, 32, 11, 4
2023/1/30, 17, 27, 14, 4
2023/1/31, 10, 29, 14, 4
2023/2/1, 9, 32, 8, 4
2022/10/2, 52, 29, 11, 2
2022/10/3, 53, 19, 13, 2
2022/10/4, 54, 39, 3, 2
2022/10/5, 61, 40, 6, 3
2022/10/6, 90, 23, 8, 25
2022/10/7, 70, 26, 9, 2
2022/10/8, 56, 28, 6, 2
2022/10/9, 61, 31, 6, 2
2022/10/10, 49, 24, 8, 2
2022/10/11, 24, 24, 10, 2
2022/10/12, 29, 21, 12, 2
2022/10/13, 50, 20, 11, 2
2022/10/14, 57, 25, 10, 2
2022/10/15, 51, 22, 10, 2
2022/10/16, 43, 26, 11, 2
2022/10/17, 37, 17, 18, 3
2022/10/18, 59, 20, 10, 2
2022/10/19, 77, 27, 14, 3
2022/10/20, 71, 22, 13, 2
2022/10/21, 70, 24, 8, 2
2022/10/22, 51, 20, 10, 2
2022/10/23, 38, 20, 9, 2
2022/10/24, 38, 21, 11, 2
2022/10/25, 43, 22, 9, 3
2022/10/26, 41, 17, 15, 4
2022/10/27, 47, 24, 11, 3
