date, pm25, no2, so2
2023/11/2, 55, , 
2023/11/3, 47, , 
2023/11/4, 36, , 
2023/11/5, 62, , 
2023/11/6, 48, , 
2023/11/7, 29, , 
2023/11/8, 12, , 
2023/11/9, 22, , 
2023/11/10, 346, , 
2023/11/11, 941, , 
2023/11/12, 999, , 
2023/10/2, 10, , 
2023/10/3, 10, , 
2023/10/4, 15, , 
2023/10/5, 17, , 
2023/10/6, 13, , 
2023/10/7, 25, , 
2023/10/8, 33, , 
2023/10/9, 26, , 
2023/10/10, 23, , 1
2023/10/11, 26, , 
2023/10/12, 27, , 
2023/10/13, 19, , 
2023/10/14, 17, , 
2023/10/15, 19, , 
2023/10/16, 25, , 
2023/10/17, 34, , 
2023/10/18, 24, , 
2023/10/19, 26, , 
2023/10/20, 27, , 
2023/10/21, 16, , 
2023/10/22, 29, , 
2023/10/23, 16, , 
2023/10/24, 14, , 
2023/10/25, 14, , 
2023/10/26, 25, , 
2023/10/27, 37, , 
2023/10/28, 20, , 
2023/10/29, 19, , 
2023/10/30, 18, , 
2023/10/31, 26, , 
2023/11/1, 52, , 
2023/7/2, 44, , 
2023/7/3, 33, , 
2023/7/4, 49, , 
2023/7/5, 3, 3, 1
2023/7/6, 19, 2, 
2023/7/7, 69, 2, 1
2023/7/8, 38, 2, 1
2023/7/9, 66, 2, 1
2023/7/10, 112, , 1
2023/7/11, 19, 1, 2
2023/7/12, 16, 3, 1
2023/7/13, 33, 2, 
2023/7/14, 115, 2, 
2023/7/15, 161, 2, 
2023/7/16, 142, 2, 1
2023/7/17, 52, 1, 2
2023/7/18, 50, 1, 
2023/7/19, 40, 1, 
2023/7/20, 81, 2, 
2023/7/21, 57, 2, 
2023/7/22, 84, 3, 1
2023/7/23, 106, 3, 1
2023/7/24, 126, 1, 1
2023/7/25, 109, , 1
2023/7/26, 59, 1, 1
2023/7/27, 7, 1, 
2023/7/28, 7, 1, 
2023/7/29, 14, 2, 
2023/7/30, 18, 1, 1
2023/7/31, 22, 1, 1
2023/8/1, 36, 1, 
2023/8/2, 36, 2, 
2023/8/3, 55, , 1
2023/8/4, 117, 1, 
2023/8/5, 47, 1, 
2023/8/6, 39, 2, 
2023/8/7, 81, 2, 
2023/8/8, 67, 1, 
2023/8/9, 49, , 1
2023/8/10, 14, , 1
2023/8/11, 13, , 
2023/8/12, 7, 1, 
2023/8/13, 16, 1, 1
2023/8/14, 23, 1, 1
2023/8/15, 26, 2, 
2023/8/16, 52, , 1
2023/8/17, 32, 3, 1
2023/8/18, 58, 1, 
2023/8/19, 34, , 
2023/8/20, 40, 2, 1
2023/8/21, 22, 2, 1
2023/8/22, 55, 1, 
2023/8/23, 50, , 
2023/8/24, 9, , 
2023/8/25, 30, , 
2023/8/26, 80, , 
2023/8/27, 59, , 
2023/8/28, 100, , 
2023/8/29, 131, , 1
2023/8/30, 105, , 1
2023/8/31, 97, , 
2023/9/1, 136, , 
2023/9/2, 156, , 
2023/9/3, 161, , 
2023/9/4, 318, , 
2023/9/5, 111, , 
2023/9/6, 16, , 
2023/9/7, 80, , 
2023/9/8, 62, , 
2023/9/9, 28, , 
2023/9/10, 32, , 
2023/9/11, 34, , 1
2023/9/12, 35, , 1
2023/9/13, 33, , 
2023/9/14, 73, , 
2023/9/15, 37, , 
2023/9/16, 20, , 1
2023/9/17, 66, , 3
2023/9/18, 50, , 
2023/9/19, 129, , 
2023/9/20, 29, , 
2023/9/21, 63, , 
2023/9/22, 57, , 2
2023/9/23, 50, , 1
2023/9/24, 38, , 
2023/9/25, 40, , 1
2023/9/26, 56, , 
2023/9/27, 46, , 
2023/9/28, 56, , 
2023/9/29, 37, , 
2023/9/30, 31, , 
2023/10/1, 28, , 
2023/4/2, 39, 2, 
2023/4/3, 20, 1, 
2023/4/4, 8, 2, 
2023/4/5, 10, 5, 
2023/4/6, 8, 3, 2
2023/4/7, 4, 2, 5
2023/4/8, 37, 3, 3
2023/4/9, 6, 4, 
2023/4/10, 34, 2, 
2023/4/11, 7, 1, 
2023/4/12, 5, 1, 
2023/4/13, 8, 2, 1
2023/4/14, 10, 4, 
2023/4/15, 14, 3, 
2023/4/16, 8, 1, 2
2023/4/17, 10, , 1
2023/4/18, 8, , 1
2023/4/19, 10, , 
2023/4/20, 9, 1, 
2023/4/21, 8, , 1
2023/4/22, 11, 2, 
2023/4/23, 16, 2, 1
2023/4/24, 8, , 3
2023/4/25, 8, , 4
2023/4/26, 7, , 
2023/4/27, 6, 1, 1
2023/4/28, 11, 2, 1
2023/4/29, 17, 2, 1
2023/4/30, 7, 1, 2
2023/5/1, 10, , 3
2023/5/2, 6, 1, 1
2023/5/3, 8, 1, 2
2023/5/4, 13, 1, 5
2023/5/5, 17, , 2
2023/5/6, 8, , 1
2023/5/7, 8, , 1
2023/5/8, 6, 1, 2
2023/5/9, 9, 2, 4
2023/5/10, 15, 2, 2
2023/5/11, 5, 5, 1
2023/5/12, 44, 4, 
2023/5/13, 63, 4, 
2023/5/14, 18, 3, 
2023/5/15, 6, 5, 
2023/5/16, 10, 5, 
2023/5/17, 78, 2, 
2023/5/18, 74, 1, 
2023/5/19, 11, 4, 
2023/5/20, 141, 6, 1
2023/5/21, 384, 3, 2
2023/5/22, 89, 3, 2
2023/5/23, 109, 1, 1
2023/5/24, 99, 2, 1
2023/5/25, 51, 3, 
2023/5/26, 58, 4, 
2023/5/27, 66, 4, 1
2023/5/28, 68, 4, 
2023/5/29, 49, 3, 
2023/5/30, 36, 3, 
2023/5/31, 99, 5, 1
2023/6/1, 74, 5, 1
2023/6/2, 37, 2, 1
2023/6/3, 89, 4, 
2023/6/4, 55, 2, 1
2023/6/5, 44, 6, 1
2023/6/6, 24, 2, 
2023/6/7, 13, 5, 1
2023/6/8, 19, 8, 1
2023/6/9, 94, 6, 1
2023/6/10, 108, 4, 1
2023/6/11, 83, 6, 1
2023/6/12, 58, 6, 1
2023/6/13, 146, 6, 2
2023/6/14, 198, 3, 2
2023/6/15, 80, 4, 
2023/6/16, 60, 3, 1
2023/6/17, 68, 3, 
2023/6/18, 23, 4, 1
2023/6/19, 20, 1, 
2023/6/20, 7, 2, 
2023/6/21, 13, 1, 
2023/6/22, 5, 2, 
2023/6/23, 20, 4, 1
2023/6/24, 28, 4, 1
2023/6/25, 28, 4, 
2023/6/26, 39, 2, 1
2023/6/27, 42, 3, 1
2023/6/28, 44, 3, 1
2023/6/29, 48, 4, 1
2023/6/30, 57, 3, 1
2023/7/1, 46, 3, 1
2023/1/3, 12, 9, 4
2023/1/4, 11, 11, 
2023/1/5, 9, 15, 3
2023/1/6, 8, 3, 7
2023/1/7, 8, 12, 
2023/1/8, 8, 11, 6
2023/1/9, 8, 11, 2
2023/1/10, 9, 9, 8
