date, pm25, pm10, o3, no2
2022/10/2, 52, 20, 53, 7
2022/10/3, 56, 19, 34, 11
2022/10/4, 49, 17, 32, 7
2022/10/5, 41, 10, 20, 6
2022/10/6, 19, 8, 17, 11
2022/10/7, 14, 7, 11, 13
2022/10/8, 18, 5, 28, 5
2022/10/9, 15, 8, 14, 6
2022/10/10, 19, 6, 28, 6
2022/10/11, 11, 10, 29, 4
2022/10/12, 17, 9, 23, 9
2022/10/13, 17, 15, 15, 16
2022/10/14, 39, 13, 38, 11
2022/10/15, 34, 13, 36, 8
2022/10/16, 39, 15, 41, 7
2022/10/17, 44, 15, 20, 12
2022/10/18, 40, 10, 30, 7
2022/10/19, 25, 6, 28, 7
2022/10/20, 12, 7, 29, 9
2022/10/21, 17, 12, 27, 16
2022/10/22, 33, 18, 37, 12
2022/10/23, 51, 21, 44, 6
2022/10/24, 53, 7, 31, 4
2022/10/25, 18, 7, 23, 10
2022/10/26, 14, 8, 27, 16
2022/10/27, 20, 15, 26, 20
2022/10/28, 39, 11, 38, 12
2022/10/29, 29, , , 
2022/11/1, 50, 17, 13, 16
2022/11/2, 45, 9, 28, 10
2022/11/3, 21, 14, 36, 11
2022/11/4, 42, 14, 34, 12
2022/11/5, 41, 9, 29, 10
2022/11/6, 23, 6, 31, 6
2022/11/7, 16, 11, 28, 13
2022/11/8, 29, 13, 34, 13
2022/11/9, 36, 16, 33, 21
2022/11/10, 45, 22, 34, 23
2022/11/11, 60, 22, 35, 23
2022/11/12, 62, 28, 36, 22
2022/11/13, 73, 25, 25, 14
2022/11/14, 65, 5, 27, 3
2022/11/15, 10, 6, 29, 5
2022/11/16, 14, 7, 31, 6
2022/11/17, 16, 12, 25, 15
2022/11/18, 38, 14, 27, 14
2022/11/19, 41, 17, 31, 17
2022/11/20, 49, 13, 24, 9
2022/11/21, 42, 7, 27, 6
2022/11/22, 17, 11, 21, 15
2022/11/23, 31, 13, 8, 14
2022/11/24, 36, 7, 27, 4
2022/11/25, 14, 12, 22, 19
2022/11/26, 28, 16, 17, 17
2022/11/27, 42, 14, 32, 5
2022/11/28, 29, 15, 10, 21
2022/11/29, 40, 19, 24, 6
2022/11/30, 24, 6, 26, 3
2022/12/1, 13, 3, 26, 4
2022/12/2, 7, 4, 25, 4
2022/12/3, 15, 9, 22, 15
2022/12/4, 25, 14, 19, 11
2022/12/5, 40, 9, 23, 10
2022/12/6, 16, 6, 28, 8
2022/12/7, 13, 9, 24, 8
2022/12/8, 27, 12, 22, 16
2022/12/9, 34, 12, 21, 20
2022/12/10, 32, 15, 27, 16
2022/12/11, 42, 13, 28, 12
2022/12/12, 38, 8, 27, 12
2022/12/13, 21, 11, 27, 13
2022/12/14, 28, 18, 29, 3
2022/12/15, 41, 5, 25, 4
2022/12/16, 18, 9, 22, 11
2022/12/17, 23, 10, 16, 15
2022/12/18, 28, 4, 26, 3
2022/12/19, 15, 6, 25, 10
