date, pm25, pm10, o3, no2
2021/10/2, 20, 11, 22, 3
2021/10/3, 29, 15, 25, 4
2021/10/4, 42, 12, 19, 8
2021/10/5, 30, 17, 42, 9
2021/10/6, 45, 13, 30, 7
2021/10/7, 41, 12, 41, 6
2021/10/8, 37, 16, 41, 7
2021/10/9, 44, 14, 44, 5
2021/10/10, 43, 11, 34, 2
2021/10/11, 35, 12, 26, 5
2021/10/12, 29, 5, 26, 4
2021/10/13, 30, 5, 31, 3
2021/10/14, 22, 7, 31, 5
2021/10/15, 24, 8, 35, 5
2021/10/16, 25, 14, 45, 8
2021/10/17, 44, 3, 29, 1
2021/10/18, 24, 4, 28, 3
2021/10/19, 17, 8, 30, 5
2021/10/20, 31, 5, 28, 3
2021/10/21, 18, 5, 30, 4
2021/10/22, 29, 5, 31, 2
2021/10/23, 28, 8, 32, 6
2021/10/24, 27, 11, 27, 3
2021/10/25, 31, 7, 28, 6
2021/10/26, 28, 4, 32, 6
2021/10/27, 23, 5, 26, 7
2021/10/28, 29, 8, 35, 4
2021/10/29, 24, 6, 30, 5
2021/10/30, 17, 12, 35, 4
2021/10/31, 43, 16, 31, 3
2021/11/1, 35, 13, 33, 6
2021/11/2, 37, 12, 38, 7
2021/11/3, 35, 7, 34, 4
2021/11/4, 31, 7, 32, 7
2021/11/5, 21, 9, 34, 7
2021/11/6, 30, 11, 33, 6
2021/11/7, 33, 7, 38, 3
2021/11/8, 27, 6, 32, 2
2021/11/9, 21, 6, 24, 4
2021/11/10, 18, 6, 28, 7
2021/11/11, 19, 4, 26, 7
2021/11/12, 24, 5, 25, 7
2021/11/13, 21, 9, 28, 6
2021/11/14, 29, 13, 29, 6
2021/11/15, 39, 17, 35, 9
2021/11/16, 44, 18, 36, 9
2021/11/17, 40, 14, 33, 9
2021/11/18, 34, 18, 32, 13
2021/11/19, 41, 22, 41, 9
2021/11/20, 43, 19, 40, 2
2021/11/21, 46, 21, 32, 13
2021/11/22, 60, 11, 27, 6
2021/11/23, 33, 9, 26, 3
2021/11/24, 21, 6, 26, 8
2021/11/25, 22, 14, 26, 16
2021/11/26, 35, 15, 30, 15
2021/11/27, 35, , 25, 1
2021/11/28, 38, 7, 28, 4
2021/11/29, 27, 7, 21, 12
2021/11/30, 31, 8, 26, 10
2021/12/1, 34, 5, 26, 5
2021/12/2, 18, 6, 19, 12
2021/12/3, 23, 8, 22, 13
2021/12/4, 28, 9, 27, 7
2021/12/5, 19, 4, 26, 2
2021/12/6, 23, 9, 20, 11
2021/12/7, 41, 5, 31, 12
2021/12/8, 29, 9, 33, 4
2021/12/9, 37, 8, 24, 13
2021/12/10, 28, 11, 20, 12
2021/12/11, 35, 17, 24, 11
2021/12/12, 38, 20, 31, 9
2021/12/13, 58, 6, 29, 8
2021/12/14, 21, 8, 20, 13
2021/12/15, 30, 14, 23, 16
2021/12/16, 37, 14, 25, 15
2021/12/17, 33, 8, 31, 7
2021/12/18, 29, 5, 28, 2
2021/12/19, 15, 5, 29, 3
2021/12/20, 24, 10, 22, 14
2021/12/21, 34, 16, 24, 17
2021/12/22, 36, 11, 29, 12
2021/12/23, 33, 8, 23, 12
2021/12/24, 25, 17, 19, 18
2021/12/25, 44, 11, 26, 8
2021/12/26, 35, 2, 29, 1
2021/12/27, 14, 3, 28, 7
2021/12/28, 13, 5, 22, 12
2021/12/29, 19, 11, 24, 9
2021/12/30, 47, 11, 31, 6
2021/12/31, 33, 4, 30, 1
2022/1/1, 23, 3, 27, 1
2022/1/2, 25, , , 
2021/10/1, , 7, 18, 3
