date, pm25, pm10, o3, no2, so2
2022/2/9, 23, 10, 29, 13, 1
2022/2/10, 27, 9, 25, 17, 1
2022/2/11, 28, 9, 30, 12, 1
2022/2/12, 30, 9, 28, 15, 1
2022/2/13, 32, 8, 31, 9, 1
2022/2/14, 35, 12, 29, 14, 1
2022/2/15, 45, 19, 35, 15, 1
2022/2/16, 55, 9, 33, 5, 1
2022/2/17, 29, 7, 30, 6, 1
2022/2/18, 28, 7, 26, 11, 1
2022/2/19, 29, 9, 18, 16, 1
2022/2/20, 33, 11, 36, 9, 1
2022/2/21, 42, 7, 31, 6, 1
2022/2/22, 22, 9, 32, 7, 1
2022/2/23, 33, 10, 34, 6, 1
2022/2/24, 33, 7, 32, 11, 1
2022/2/25, 23, 12, 37, 10, 1
2022/2/26, 40, 21, 45, 13, 2
2022/2/27, 58, , , , 
2022/2/8, , 9, 29, 9, 1
