date, pm25
2023/8/2, 61
2023/8/3, 21
2023/8/4, 19
2023/8/5, 54
2023/8/6, 15
2023/8/7, 36
2023/8/8, 19
2023/8/9, 19
2023/8/10, 7
2023/8/11, 16
2023/8/12, 17
2023/8/13, 564
2023/7/29, 12
2023/7/30, 23
2023/7/31, 31
2023/8/1, 30
2023/5/14, 5
2023/5/15, 6
2023/5/16, 19
2023/5/17, 6
2023/6/21, 9
2023/6/22, 22
2023/6/23, 8
2023/6/24, 21
2023/6/25, 7
2023/6/26, 6
2023/6/27, 9
2023/6/28, 10
2022/10/2, 9
2022/10/3, 5
2022/10/4, 7
2022/10/5, 18
2022/10/6, 11
2022/10/7, 5
2022/10/8, 5
2022/10/10, 7
2022/10/11, 9
2022/10/12, 14
2022/10/13, 5
2022/10/14, 13
2022/10/15, 11
2022/10/16, 15
2022/10/17, 16
2022/10/18, 7
2022/10/19, 6
2022/11/1, 9
2022/11/2, 19
2022/11/3, 11
2022/11/4, 7
2022/11/5, 15
2022/9/10, 5
2022/9/11, 18
2022/9/12, 14
2022/9/13, 14
2022/9/14, 5
2022/9/17, 21
2022/9/19, 6
2022/9/20, 6
2022/9/21, 5
2022/9/22, 5
2022/9/24, 5
2022/9/25, 5
2022/9/27, 8
2022/9/28, 10
2022/9/29, 6
2022/9/30, 5
2022/10/1, 10
2022/4/30, 9
2022/5/1, 7
2022/5/2, 7
2022/3/16, 5
2022/3/17, 9
2021/10/7, 7
2021/10/8, 6
2021/10/9, 8
2021/10/10, 6
2021/10/11, 6
2021/10/12, 6
2021/11/6, 5
2021/11/7, 11
2021/11/8, 6
2021/11/9, 5
2021/7/13, 58
2021/7/14, 54
2021/7/15, 38
2021/7/16, 36
2021/7/20, 45
2021/7/21, 79
2021/7/22, 72
2021/7/23, 34
2021/7/24, 53
2021/7/25, 86
2021/7/26, 90
2021/7/27, 94
2021/7/28, 67
2021/7/29, 45
2021/7/30, 79
2021/7/31, 84
2021/8/1, 164
2021/8/3, 13
2021/8/4, 12
2021/8/6, 11
2021/8/11, 56
2021/8/12, 40
2021/8/13, 55
2021/8/14, 166
2021/8/15, 183
2021/8/16, 161
2021/8/17, 75
2021/8/18, 53
2021/8/27, 14
2021/8/28, 12
2021/8/29, 38
2021/8/30, 44
2021/8/31, 51
2021/9/2, 57
2021/9/10, 54
2021/9/11, 49
2021/9/12, 21
2021/9/13, 14
2021/9/14, 8
2021/9/15, 29
2021/9/21, 6
2021/9/22, 14
2021/9/23, 9
2021/9/29, 21
2021/9/30, 20
2021/6/2, 17
2021/6/3, 12
2021/6/8, 8
2021/6/9, 14
2021/6/10, 6
2021/6/11, 5
2020/9/3, 5
