date, pm25, pm10, o3, no2, so2
2022/10/2, 45, 16, 62, 4, 1
2022/10/3, 53, 11, 33, 2, 1
2022/10/4, 33, 13, 33, 1, 1
2022/10/5, 34, 8, 25, 4, 2
2022/10/6, 25, 4, 27, 2, 1
2022/10/7, 19, 5, 20, 5, 1
2022/10/8, 16, 7, 31, 5, 4
2022/10/9, 21, 6, 14, 3, 1
2022/10/10, 18, 7, 35, 4, 1
2022/10/11, 21, 5, 35, 2, 1
2022/10/12, 22, 8, 25, 5, 3
2022/10/13, 26, 11, 36, 4, 2
2022/10/14, 35, 11, 43, 6, 1
2022/10/15, 32, 13, 41, 7, 3
2022/10/16, 41, 14, 43, 5, 1
2022/10/17, 42, 14, 25, 4, 1
2022/10/18, 40, 12, 32, 4, 4
2022/10/19, 37, 7, 31, 5, 3
2022/10/20, 24, 6, 33, 6, 2
2022/10/21, 21, 6, 40, 3, 
2022/10/22, 19, 6, 35, 1, 1
2022/10/23, 20, 11, 40, 5, 5
2022/10/24, 38, 8, 34, 4, 6
2022/10/25, 27, 8, 25, 8, 16
2022/10/26, 27, 6, 29, 6, 6
2022/10/27, 23, 8, 26, 8, 3
2022/10/28, 25, 8, 34, 7, 6
2022/10/29, 30, 10, 29, 5, 13
2022/10/30, 39, 9, 29, 6, 13
2022/10/31, 36, 10, 40, 6, 3
2022/11/1, 35, 8, 14, 6, 1
2022/11/2, 26, 8, 28, 10, 4
2022/11/3, 27, 12, 32, 6, 1
2022/11/4, 37, 15, 46, 5, 5
2022/11/5, 52, 10, 31, 7, 12
2022/11/6, 38, 7, 32, 4, 5
2022/11/7, 29, 7, 27, 6, 1
2022/11/8, 29, 12, 41, 6, 4
2022/11/9, 43, 11, 41, 5, 2
2022/11/10, 34, 14, 40, 6, 1
2022/11/11, 57, 18, 44, 7, 3
2022/11/12, 60, 16, 50, 3, 1
2022/11/13, 52, 10, 40, 5, 15
2022/11/14, 32, 13, 25, 8, 22
2022/11/15, 42, 8, 37, 4, 3
2022/11/16, 31, 10, 43, 2, 1
2022/11/17, 39, 12, 34, 7, 2
2022/11/18, 48, 12, 32, 10, 5
2022/11/19, 48, 12, 34, 6, 4
2022/11/20, 44, 9, 20, 4, 4
2022/11/21, 33, 9, 22, 9, 12
2022/11/22, 30, 11, 28, 8, 9
2022/11/23, 41, 9, 25, 5, 2
2022/11/24, 29, 10, 27, 8, 21
2022/11/25, 35, 6, 31, 4, 2
2022/11/26, 24, 6, 25, 6, 1
2022/11/27, 21, 19, 30, 9, 16
2022/11/28, 54, 9, 33, 5, 1
2022/11/29, 33, 13, 32, 6, 9
2022/11/30, 33, 12, 29, 4, 13
2022/12/1, 24, 3, 28, 2, 1
2022/12/2, 15, 3, 29, 3, 2
2022/12/3, 16, 5, 23, 6, 3
2022/12/4, 23, 13, 25, 7, 5
