date, pm25, pm10, o3, no2, so2
2022/2/2, 42, 21, 41, 3, 1
2022/2/3, 57, 17, 36, 4, 1
2022/2/4, 47, 9, 37, 2, 1
2022/2/5, 26, 9, 35, 1, 1
2022/2/6, 28, 8, 35, 1, 1
2022/2/7, 24, 11, 35, 4, 1
2022/2/8, 29, 13, 30, 8, 1
2022/2/9, 36, 8, 33, 4, 1
2022/2/10, 28, 7, 30, 5, 1
2022/2/11, 32, 8, 34, 5, 1
2022/2/12, 31, 9, 33, 6, 1
2022/2/13, 28, 9, 34, 4, 
2022/2/14, 32, 12, 36, 4, 1
2022/2/15, 45, 15, 40, 4, 1
2022/2/16, 43, 8, 35, 2, 1
2022/2/17, 31, 9, 35, 2, 1
2022/2/18, 36, 7, 32, 4, 1
2022/2/19, 28, 9, 25, 9, 1
2022/2/20, 34, 8, 35, 2, 1
2022/2/21, 35, 9, 34, 1, 1
2022/2/22, 29, 9, 35, 5, 1
2022/2/23, 38, 11, 37, 2, 1
2022/2/24, 35, 6, 39, 1, 1
2022/2/25, 16, , , , 
2022/2/1, , 13, 39, 4, 1
