date, pm25, pm10, no2, co
2022/10/2, 71, 32, 1, 1
2022/10/3, 69, 36, 2, 1
2022/10/4, 75, 15, 1, 1
2022/10/5, 28, 10, 1, 
2022/10/6, 16, 9, 2, 1
2022/10/7, 14, 10, 2, 1
2022/10/8, 22, 11, 1, 
2022/10/9, 16, 12, 1, 1
2022/10/10, 24, 9, 1, 1
2022/10/11, 13, 11, 1, 
2022/10/12, 16, 16, 1, 
2022/10/13, 31, 14, 2, 1
2022/10/14, 28, 20, 2, 1
2022/10/15, 39, 39, 3, 1
2022/10/16, 72, 47, 3, 1
2022/10/17, 89, 27, 1, 1
2022/10/18, 55, 10, 1, 
2022/10/19, 18, 9, 1, 1
2022/10/20, 15, 12, 1, 1
2022/10/21, 23, 14, 2, 3
2022/10/22, 30, 19, 2, 1
2022/10/23, 45, 16, 2, 1
2022/10/24, 37, 9, 1, 1
2022/10/25, 15, 9, 3, 1
2022/10/26, 18, 11, 2, 1
2022/10/27, 24, 20, 2, 1
2022/10/28, 24, 13, 1, 2
2022/10/29, 14, 9, 1, 1
2022/10/30, 13, 8, 1, 1
2022/10/31, 11, 10, 2, 1
2022/11/1, 18, 13, 2, 1
2022/11/2, 25, 13, 2, 1
2022/11/3, 27, 11, 2, 1
2022/11/4, 25, 10, 2, 1
2022/11/5, 21, 13, 2, 1
2022/11/6, 38, 9, 1, 1
2022/11/7, 21, 12, 2, 1
2022/11/8, 35, 12, 2, 1
2022/11/9, 29, 14, 2, 2
2022/11/10, 39, 16, 2, 1
2022/11/11, 45, 13, 3, 1
2022/11/12, 39, 14, 3, 1
2022/11/13, 32, 14, 1, 1
2022/11/14, 25, 8, 2, 
2022/11/15, 15, 9, 2, 1
2022/11/16, 14, 10, 1, 1
2022/11/17, 18, 11, 3, 1
2022/11/18, 26, 9, 2, 1
2022/11/19, 22, 14, 3, 1
2022/11/21, 25, 13, 3, 1
2022/11/22, 27, 10, 2, 1
2022/11/23, 23, 15, 4, 1
2022/11/24, 39, 12, 2, 1
2022/11/25, 25, 12, 2, 1
2022/11/26, 32, 12, 1, 1
2022/11/27, 28, 13, 2, 1
2022/11/28, 37, 14, 3, 1
2022/11/29, 35, 12, 2, 1
2022/11/30, 24, 10, 1, 1
2022/12/1, 24, 6, 1, 1
2022/12/2, 11, 7, 3, 
2022/12/3, 13, 7, 2, 1
2022/12/4, 13, 9, 1, 1
2022/12/5, 24, 5, 1, 1
2022/12/6, 13, 7, 7, 2
2022/12/7, 22, 8, 3, 1
2022/12/8, 20, 6, 1, 1
2022/12/9, 15, 8, 2, 1
2022/12/10, 25, 9, 3, 1
2022/12/11, 25, 10, 3, 1
2022/12/12, 34, 10, 6, 1
2022/12/13, 30, 7, 3, 1
2022/12/14, 17, 9, 1, 2
2022/12/15, 29, 7, 1, 
2022/12/16, 21, 6, 1, 2
2022/12/17, 17, 7, 4, 1
2022/12/18, 20, 5, 1, 
