date, pm25, o3, no2, so2, co
2023/4/2, 66, 52, , , 11
2023/4/3, 80, 47, , , 12
2023/4/4, 69, 45, , , 10
2023/4/5, 72, 45, , , 7
2023/4/6, 56, 44, , , 11
2023/4/7, 85, 33, , , 9
2023/4/8, 48, 36, , , 11
2023/4/9, 47, 35, , , 9
2023/4/10, 40, 38, , , 9
2023/4/11, 47, 36, , , 8
2023/4/12, 33, 41, , , 10
2023/4/13, 430, 32, , , 11
2023/4/14, 815, 33, , , 8
2023/4/15, 815, 31, , , 6
2023/4/16, 815, , , , 
2023/1/9, 52, 43, , , 9
2023/1/10, 70, 39, , , 12
2023/1/11, 83, 37, , , 12
2023/1/12, 92, 41, , , 11
2023/1/13, 94, 35, , , 8
2023/1/14, 82, 34, , , 11
2023/1/15, 72, 38, , , 11
2023/1/16, 75, 29, , , 7
2023/1/17, 38, 42, , , 14
2023/1/18, 73, 36, , , 8
2023/1/19, 48, 35, , , 16
2023/1/20, 83, 33, , , 15
2023/1/21, 95, 38, , , 12
2023/1/22, 100, 29, , , 12
2023/1/23, 538, 31, , , 11
2023/1/24, 470, 27, , , 9
2023/1/25, 63, 31, , , 12
2023/1/26, 48, 29, , , 12
2023/1/27, 52, 27, , , 10
2023/1/28, 69, 26, , , 10
2023/1/29, 67, 25, , , 10
2023/1/30, 29, 37, , , 9
2023/1/31, 43, 38, , , 14
2023/2/1, 89, 36, , , 12
2023/2/2, 88, 27, , , 11
2023/2/3, 58, 23, , , 8
2023/2/4, 48, , , , 
2023/2/6, 57, 44, , , 12
2023/2/7, 70, 37, , , 12
2023/2/8, 70, 38, , , 9
2023/2/9, 75, 45, , , 8
2023/2/10, 82, 30, , , 7
2023/2/11, 60, 29, , , 8
2023/2/12, 50, 48, , , 11
2023/2/13, 80, 38, , , 13
2023/2/14, 75, 24, , , 6
2023/2/15, 54, , , , 10
2023/2/16, 51, , , , 10
2023/2/17, 30, , , , 8
2023/2/18, 78, , , , 9
2023/2/19, 74, , , , 8
2023/2/20, 59, , , , 12
2023/2/21, 50, , , , 12
2023/2/22, 70, , , , 8
2023/2/23, 56, , , , 11
2023/2/24, 53, , , , 9
2023/2/25, 64, , , , 11
2023/2/26, 85, , , , 12
2023/2/27, 74, , , , 13
2023/2/28, 48, , , , 11
2023/3/1, 65, , , , 12
2023/3/2, 151, , , , 11
2023/3/3, 40, 27, , , 10
2023/3/4, 22, 34, , , 8
2023/3/5, 100, 51, , , 11
2023/3/6, 67, 46, , , 15
2023/3/7, 68, 52, , , 8
2023/3/8, 78, 42, , , 10
2023/3/9, 88, 50, , , 9
2023/3/10, 102, 43, , , 10
2023/3/11, 101, 44, , , 11
2023/3/12, 93, 42, , , 13
2023/3/13, 77, 39, , , 8
