date, pm25, pm10, o3, no2, so2
2022/8/2, 26, 15, 17, 2, 2
2022/8/3, 45, 10, 18, 1, 1
2022/8/4, 33, 7, 17, 1, 1
2022/8/5, 20, 8, 17, 1, 1
2022/8/6, 20, 11, 17, 2, 1
2022/8/7, 27, 9, 23, 2, 1
2022/8/8, 30, 7, 17, 1, 1
2022/8/9, 22, 6, 18, 2, 1
2022/8/10, 22, 10, 16, 2, 1
2022/8/11, 37, 7, 16, 1, 1
2022/8/12, 28, 11, 22, 2, 1
2022/8/13, 36, 19, 30, 2, 1
2022/8/14, 53, 13, 16, 1, 1
2022/8/15, 41, 8, 12, 1, 1
2022/8/16, 26, 9, 11, 1, 1
2022/8/17, 24, 5, 14, 2, 1
2022/8/18, 17, 10, 41, 1, 1
2022/8/19, 35, 12, 18, 1, 1
2022/8/20, 35, 18, 22, 1, 1
2022/8/21, 42, 12, 36, 1, 1
2022/8/22, 31, , , , 
2022/7/2, 57, 25, 62, 3, 1
2022/7/3, 71, 21, 33, 3, 1
2022/7/4, 61, 6, 23, 2, 1
2022/7/5, 23, 12, 25, 2, 1
2022/7/6, 33, 16, 22, 2, 1
2022/7/7, 46, 14, 28, 2, 1
2022/7/8, 39, 11, 20, 1, 1
2022/7/9, 32, 19, 51, 1, 1
2022/7/10, 53, 15, 40, 1, 1
2022/7/11, 47, 20, 38, 2, 1
2022/7/12, 54, 18, 30, 1, 1
2022/7/13, 39, 13, 35, 2, 1
2022/7/14, 39, 18, 32, 1, 1
2022/7/15, 48, 15, 36, 3, 1
2022/7/16, 47, 13, 61, 2, 1
2022/7/17, 44, 14, 43, 1, 1
2022/7/18, 52, 14, 29, 1, 1
2022/7/19, 45, 16, 41, 1, 1
2022/7/20, 41, 20, 46, 3, 1
2022/7/21, 57, 20, 48, 2, 1
2022/7/22, 55, 19, 52, 1, 1
2022/7/23, 56, 14, 46, 2, 1
2022/7/24, 51, 18, 45, 1, 1
2022/7/25, 56, 13, 40, 1, 1
2022/7/26, 40, 16, 39, 2, 1
2022/7/27, 48, 30, 53, 2, 1
2022/7/28, 72, 20, 34, 3, 1
2022/7/29, 51, 9, 25, 1, 1
2022/7/30, 27, 7, 18, 2, 1
2022/7/31, 21, 4, 14, 1, 1
2022/8/1, 17, 10, 16, 1, 2
2022/6/2, 58, 17, 45, 3, 4
2022/6/3, 57, 18, 55, 3, 3
2022/6/4, 59, 24, 59, 5, 3
2022/6/5, 69, 17, 38, 2, 2
2022/6/6, 52, 6, 43, 1, 3
2022/6/7, 21, 8, 38, 1, 2
2022/6/8, 32, 10, 32, 2, 3
2022/6/9, 37, 11, 36, 4, 3
2022/6/10, 44, 22, 50, 6, 4
2022/6/11, 70, 19, 43, 2, 3
2022/6/12, 64, 21, 36, 1, 3
2022/6/13, 61, 16, 36, 4, 2
2022/6/14, 55, 5, 34, 3, 2
2022/6/15, 24, 7, 39, 2, 3
2022/6/16, 26, 15, 49, 3, 3
2022/6/17, 55, 9, 40, 3, 3
2022/6/18, 50, 8, 31, 2, 3
2022/6/19, 30, 13, 35, 1, 3
2022/6/20, 50, 15, 27, 4, 3
2022/6/21, 51, 7, 29, 3, 3
2022/6/22, 26, 9, 30, 2, 3
2022/6/23, 33, 10, 17, 1, 3
2022/6/24, 35, 11, 31, 1, 3
2022/6/25, 39, 8, 36, 1, 2
2022/6/26, 32, 8, 21, 1, 3
2022/6/27, 25, 12, 10, 1, 4
2022/6/28, 41, 12, 15, 1, 5
2022/6/29, 42, 10, 14, 1, 3
2022/6/30, 36, 16, 20, 2, 4
2022/7/1, 50, 19, 27, 4, 1
2022/5/2, 44, 14, 57, 2, 2
2022/5/3, 52, 13, 52, 2, 3
2022/5/4, 52, 14, 55, 2, 4
2022/5/5, 54, 19, 53, 3, 4
2022/5/6, 65, 15, 36, 4, 5
2022/5/7, 51, 12, 43, 2, 4
2022/5/8, 44, 17, 43, 1, 3
2022/5/9, 53, 14, 41, 1, 3
2022/5/10, 44, 16, 42, 6, 3
2022/5/11, 58, 17, 28, 9, 3
2022/5/12, 56, 10, 22, 7, 3
2022/5/13, 39, 9, 38, 4, 2
2022/5/14, 32, 14, 49, 1, 3
2022/5/15, 50, 11, 44, 1, 2
2022/5/16, 41, 11, 59, 2, 3
2022/5/17, 47, 15, 75, 3, 3
2022/5/18, 58, 19, 84, 3, 4
2022/5/19, 68, 20, 75, 5, 3
2022/5/20, 71, 21, 54, 7, 4
2022/5/21, 74, 16, 60, 4, 4
2022/5/22, 62, 20, 75, 2, 4
2022/5/23, 69, 26, 55, 3, 4
2022/5/24, 79, 32, 76, 5, 4
2022/5/25, 91, 28, 59, 4, 5
2022/5/26, 85, 21, 41, 3, 3
2022/5/27, 68, 11, 69, 2, 3
2022/5/28, 42, 14, 67, 2, 4
2022/5/29, 55, 12, 51, 3, 6
2022/5/30, 48, 10, 43, 2, 3
2022/5/31, 37, 19, 52, 4, 3
2022/6/1, 64, 16, 56, 7, 3
2022/4/2, 40, 8, 41, 4, 2
2022/4/3, 39, 8, 41, 2, 2
2022/4/4, 40, 7, 43, 3, 2
2022/4/5, 39, 12, 59, 5, 2
2022/4/6, 55, 11, 52, 2, 2
2022/4/7, 50, 17, 66, 3, 3
2022/4/8, 62, 18, 54, 4, 3
2022/4/9, 64, 12, 48, 5, 3
2022/4/10, 50, 19, 48, 3, 5
2022/4/11, 70, 20, 28, 6, 3
2022/4/12, 65, 10, 26, 4, 3
2022/4/13, 38, 15, 40, 3, 2
2022/4/14, 50, 10, 38, 1, 1
2022/4/15, 36, 10, 38, 1, 1
2022/4/16, 30, 12, 42, 1, 1
2022/4/17, 42, 13, 60, 2, 1
2022/4/18, 53, 14, 57, 5, 1
2022/4/19, 57, 13, 65, 3, 3
2022/4/20, 56, 17, 68, 5, 3
2022/4/21, 60, 19, 39, 8, 2
2022/4/22, 68, 13, 57, 3, 3
2022/4/23, 48, 17, 32, 8, 3
2022/4/24, 59, 14, 43, 5, 4
2022/4/25, 51, 13, 42, 5, 4
2022/4/26, 50, 7, 24, 1, 3
2022/4/27, 25, 18, 44, 1, 3
2022/4/28, 45, 26, 42, 2, 3
2022/4/29, 60, 14, 46, 2, 2
2022/4/30, 39, 8, 44, 1, 2
2022/5/1, 37, 11, 48, 1, 2
2022/3/2, 57, 22, 38, 2, 2
2022/3/3, 70, 15, 48, 4, 2
2022/3/4, 59, 33, 42, 13, 2
2022/3/5, 96, 28, 45, 2, 2
2022/3/6, 72, 8, 39, 1, 2
2022/3/7, 41, 18, 36, 6, 2
2022/3/8, 65, 19, 51, 7, 2
2022/3/9, 63, 33, 64, 8, 3
2022/3/10, 100, 27, 59, 10, 2
2022/3/11, 93, 22, 49, 9, 3
2022/3/12, 75, 20, 42, 9, 2
2022/3/13, 69, 16, 39, 2, 4
2022/3/14, 58, 12, 45, 2, 2
2022/3/15, 41, 15, 46, 3, 2
2022/3/16, 52, 13, 47, 6, 2
2022/3/17, 50, 18, 45, 4, 2
2022/3/18, 59, 10, 40, 6, 1
2022/3/19, 33, 6, 38, 1, 1
2022/3/20, 29, 4, 38, 1, 1
2022/3/21, 19, 11, 41, 2, 1
2022/3/22, 51, 7, 42, 3, 1
2022/3/23, 32, 7, 30, 8, 2
2022/3/24, 34, 28, 56, 6, 2
2022/3/25, 93, 24, 45, 7, 5
2022/3/26, 83, 11, 42, 1, 2
2022/3/27, 36, 12, 44, 2, 2
2022/3/28, 39, 16, 41, 1, 2
2022/3/29, 54, 17, 40, 7, 2
2022/3/30, 58, 18, 30, 11, 3
2022/3/31, 65, 17, 46, 4, 2
2022/4/1, 58, 9, 40, 1, 2
2022/2/2, 74, 30, 43, 6, 2
2022/2/3, 102, 12, 39, 3, 2
2022/2/4, 50, 10, 41, 3, 3
2022/2/5, 50, 13, 37, 1, 1
2022/2/6, 55, 6, 33, 1, 2
2022/2/7, 30, 8, 33, 6, 2
2022/2/8, 43, 9, 36, 7, 2
2022/2/9, 46, 8, 34, 5, 2
2022/2/10, 41, 9, 33, 7, 2
2022/2/11, 43, 12, 39, 6, 2
2022/2/12, 57, 10, 33, 10, 2
2022/2/13, 51, 10, 22, 10, 2
2022/2/14, 52, 10, 31, 8, 2
2022/2/15, 48, 15, 36, 1, 1
2022/2/16, 62, 10, 34, 1, 1
2022/2/17, 45, 8, 34, 1, 2
2022/2/18, 42, 7, 31, 5, 2
2022/2/19, 38, 7, 26, 5, 2
2022/2/20, 37, 10, 37, 1, 2
2022/2/21, 49, 7, 34, 2, 2
2022/2/22, 38, 11, 37, 3, 2
2022/2/23, 55, 12, 34, 5, 2
2022/2/24, 59, 8, 42, 3, 2
2022/2/25, 45, 16, 43, 6, 2
2022/2/26, 70, 23, 47, 8, 2
2022/2/27, 88, 21, 46, 3, 2
2022/2/28, 79, 13, 36, 9, 2
2022/3/1, 59, 15, 45, 5, 2
2022/1/4, 61, 17, 34, 5, 1
2022/1/5, 66, 13, 24, 10, 1
2022/1/6, 55, 7, 35, 6, 1
2022/1/7, 38, 8, 30, 7, 1
2022/1/8, 38, 9, 34, 8, 1
2022/1/9, 44, 20, 38, 5, 1
2022/1/10, 76, 30, 35, 7, 1
2022/1/11, 102, 16, 32, 3, 1
2022/1/12, 55, 5, 32, 2, 1
2022/1/13, 31, 12, 32, 2, 1
2022/1/14, 55, 5, 30, 3, 1
2022/1/15, 30, 8, 24, 10, 1
2022/1/16, 43, 19, 35, 5, 1
2022/1/17, 64, 9, 33, 2, 1
2022/1/18, 37, 9, 33, 3, 2
2022/1/19, 39, 8, 31, 8, 3
2022/1/20, 43, 9, 34, 2, 2
2022/1/21, 38, 5, 30, 5, 2
2022/1/22, 23, 9, 27, 8, 3
2022/1/23, 40, 10, 19, 10, 2
2022/1/24, 42, 8, 34, 4, 2
2022/1/25, 33, 8, 32, 7, 2
2022/1/26, 37, 22, 41, 5, 2
2022/1/27, 79, 33, 44, 11, 2
2022/1/28, 107, 26, 36, 11, 3
2022/1/29, 88, 7, 34, 6, 3
2022/1/30, 38, 6, 34, 4, 2
2022/1/31, 35, 7, 34, 5, 3
2022/2/1, 41, 20, 38, 3, 2
2021/10/2, 29, 13, 48, 3, 1
2021/10/3, 46, 20, 60, 3, 1
2021/10/4, 64, 23, 49, 5, 
2021/10/5, 74, 18, 45, 4, 
2021/10/6, 61, 17, 44, 5, 
2021/10/7, 57, 23, 42, 3, 
2021/10/8, 73, 27, 52, 5, 
2021/10/9, 76, 22, 40, 3, 
2021/10/10, 62, 17, 38, 2, 
2021/10/11, 55, 19, 32, 2, 
2021/10/12, 60, 16, 31, 2, 
2021/10/13, 50, 9, 32, 1, 
2021/10/14, 32, 8, 37, 1, 
2021/10/15, 25, 11, 44, 3, 
2021/10/16, 46, 10, 34, 3, 
2021/10/17, 40, 8, 30, 1, 
2021/10/18, 36, 6, 30, 4, 
2021/10/19, 34, 8, 46, 4, 
2021/10/20, 43, 8, 35, 5, 
2021/10/21, 41, 9, 29, 3, 
2021/10/22, 43, 11, 44, 3, 
