date, pm25, pm10, o3, so2
2023/8/2, 30, 5, 6, 1
2023/8/3, 24, 4, 12, 1
2023/8/4, 26, 4, 10, 1
2023/8/5, 13, 5, 13, 1
2023/8/6, 25, 7, 15, 1
2023/8/7, 38, 9, 13, 1
2023/8/8, 40, 15, 17, 1
2023/8/9, 45, 8, 21, 1
2023/8/10, 32, 10, 19, 1
2023/8/11, 44, 16, 18, 1
2023/8/12, 36, 12, 12, 1
2023/8/13, 40, 19, 29, 1
2023/8/14, 50, 23, 27, 1
2023/8/15, 47, 16, 19, 1
2023/8/16, 49, 15, 11, 1
2023/8/17, 43, 14, 15, 1
2023/8/18, 35, 6, 6, 1
2023/8/19, 27, 7, 9, 
2023/8/20, 27, 9, 10, 1
2023/8/21, 28, 11, 17, 
2023/8/22, 23, 8, 11, 
2023/8/23, 31, 3, 8, 
2023/8/24, 22, 15, 14, 1
2023/8/25, 39, 8, 8, 1
2023/8/26, 37, 4, 11, 
2023/8/27, 23, , , 
2023/8/1, , 9, 7, 1
