date, pm25, pm10, no2, so2, co
2021/6/1, 19, 10, 4, , 
2021/6/2, 35, 14, 4, , 
2021/6/3, 43, 12, 5, , 
2021/6/4, 34, 7, 1, , 
2021/6/5, 30, 14, 1, , 
2021/6/6, 44, 15, 2, , 
2021/6/7, 44, 18, 2, , 1
2021/6/8, 57, 12, 3, , 1
2021/6/9, 52, 13, 3, , 
2021/6/10, 55, 17, 5, , 
2021/6/11, 60, 17, 3, , 1
2021/6/12, 54, 11, 1, , 
2021/6/13, 36, 10, 2, , 
2021/6/14, 39, 8, 1, , 1
2021/6/15, 34, 7, 1, , 
2021/6/16, 27, 7, 1, , 
2021/6/17, 32, 8, 1, , 
2021/6/18, 39, , , , 
2021/5/1, 41, 8, 1, , 
2021/5/2, 28, 10, 1, , 
2021/5/3, 33, 16, 3, , 1
2021/5/4, 48, 16, 4, , 1
2021/5/5, 43, 15, 3, , 1
2021/5/6, 36, 13, 8, , 1
2021/5/7, 43, 44, 3, , 
2021/5/8, 85, 37, 3, , 1
2021/5/9, 70, 7, 1, , 
2021/5/10, 24, 8, 1, , 1
2021/5/11, 21, 9, 2, , 1
2021/5/12, 26, 11, 5, , 1
2021/5/13, 38, 15, 4, , 1
2021/5/14, 39, 16, 3, , 1
2021/5/15, 47, 16, 8, , 
2021/5/16, 52, 7, 5, , 
2021/5/17, 21, 9, 2, , 
2021/5/18, 23, 11, 3, , 1
2021/5/19, 35, 11, 2, , 
2021/5/20, 25, 9, 3, , 1
2021/5/21, 24, 6, 3, , 1
2021/5/22, 18, 9, 2, , 1
2021/5/23, 24, 6, 1, , 1
2021/5/24, 22, 10, 2, , 
2021/5/25, 38, 15, 1, , 
2021/5/26, 39, 15, 3, , 1
2021/5/27, 42, 10, 3, , 1
2021/5/28, 29, 11, 2, , 1
2021/5/29, 30, 6, 1, , 
2021/5/30, 18, 7, 1, , 
2021/5/31, 15, 6, 2, , 
2021/4/10, 31, 11, 4, , 1
2021/4/11, 33, 10, 7, , 1
2021/4/12, 41, 15, 11, , 1
2021/4/13, 42, 9, 1, , 1
2021/4/14, 31, 12, 3, , 1
2021/4/15, 43, 14, 8, , 1
2021/4/16, 40, 16, 15, , 1
2021/4/17, 47, 7, 5, , 1
2021/4/18, 21, 16, 1, , 1
2021/4/19, 45, 17, 2, , 1
2021/4/20, 49, 11, 2, , 1
2021/4/21, 36, 13, 3, , 1
2021/4/22, 42, 10, 7, , 1
2021/4/23, 26, 12, 4, , 1
2021/4/24, 31, 11, 1, , 
2021/4/25, 32, 6, 2, , 
2021/4/26, 19, 14, 4, , 1
2021/4/27, 40, 12, 7, , 1
2021/4/28, 31, 25, 7, , 1
2021/4/29, 56, 9, 2, , 1
2021/4/30, 21, 12, 3, , 1
2021/3/1, 38, 15, 15, , 12
2021/3/2, 44, 8, 6, , 12
2021/3/3, 26, 9, 13, , 11
2021/3/4, 22, 13, 16, , 11
2021/3/5, 37, 11, 3, , 10
2021/3/6, 27, 9, 3, , 11
2021/3/7, 21, 9, 4, , 11
2021/3/8, 27, 11, 8, , 11
2021/3/9, 31, 16, 4, 1, 11
2021/3/10, 49, 13, 5, , 11
2021/3/11, 38, 20, 9, , 11
2021/3/12, 54, 16, 11, , 12
2021/3/13, 51, 10, 5, , 11
2021/3/14, 28, 14, 3, , 11
2021/3/15, 38, 16, 10, , 6
2021/3/16, 35, 27, 1, , 1
2021/3/17, 53, 14, 2, , 1
2021/3/18, 36, 11, 4, , 1
2021/3/19, 33, 9, 6, , 1
2021/3/20, 34, 8, 10, , 2
2021/3/21, 16, 8, 1, , 1
2021/3/22, 36, 11, 2, , 
2021/3/23, 38, 22, 3, , 
2021/3/24, 56, 29, 19, , 1
2021/3/25, 66, 20, 6, , 1
2021/3/26, 53, 12, 4, , 1
2021/3/27, 35, 16, 6, , 1
2021/3/28, 48, 11, 6, , 
2021/3/29, 39, , , , 
2021/2/1, 46, 17, 4, , 10
