date, pm10, o3, no2, so2, co
2023/7/2, 63, 72, 8, 4, 
2023/7/3, 62, 79, 6, 3, 
2023/7/4, 61, 55, 4, 4, 
2023/7/5, 64, 77, 5, 3, 
2023/7/6, 65, 82, 6, 4, 
2023/7/7, 67, 43, 5, 3, 
2023/7/8, 66, 28, 4, 3, 
2023/7/9, 82, 15, 3, 4, 
2023/7/10, 85, 17, 7, 4, 
2023/7/11, 80, 9, 7, 3, 
2023/7/12, 82, 3, 5, 4, 
2023/7/13, 79, 20, 3, 4, 
2023/7/14, 64, 23, 3, 3, 
2023/7/15, 61, 25, 6, 3, 
2023/7/16, 68, 24, 6, 4, 
2023/7/17, 68, 23, 10, 4, 
2023/7/18, 63, 23, 4, 4, 
2023/7/19, 59, 24, 5, 4, 
2023/7/20, 61, 80, 6, 4, 
2023/7/21, 64, 92, 5, 4, 
2023/7/22, 86, 56, 3, 3, 
2023/7/23, 93, 48, 2, 3, 
2023/7/24, 175, , , , 
2023/4/2, 65, 45, 4, 7, 
2023/4/3, 66, 43, 4, 5, 
2023/4/4, 62, 45, 5, 8, 
2023/4/5, 60, 70, 16, 9, 
2023/4/6, 64, 60, 30, 12, 
2023/4/7, 106, 53, 22, 9, 
2023/4/8, 337, 46, 14, 8, 
2023/4/9, 538, 51, 24, 14, 
2023/4/10, 134, 42, 20, 6, 
2023/4/11, 99, 40, 21, 6, 
2023/4/12, 69, 34, 16, 6, 
2023/4/13, 135, 32, 15, 5, 
2023/4/14, 600, 30, 13, 4, 
2023/4/15, 261, 49, 6, 6, 
2023/4/16, 48, 60, 6, 10, 
2023/4/17, 31, 62, 9, 9, 
2023/4/18, 20, 75, 26, 15, 
2023/4/19, 31, 71, 24, 12, 
2023/4/20, 30, 65, 22, 15, 
2023/4/21, 27, 74, 26, 15, 
2023/4/22, 32, 68, 19, 16, 
2023/4/23, 30, 64, 18, 12, 
2023/4/24, 406, 38, 29, 12, 
2023/4/25, 441, 51, 19, 7, 
2023/4/26, 50, 37, 16, 6, 
2023/4/27, 48, 51, 20, 9, 
2023/4/28, 46, 55, 25, 10, 
2023/4/29, 35, 49, 29, 12, 
2023/4/30, 31, 50, 23, 11, 
2023/5/1, 32, 37, 30, 8, 
2023/5/2, 48, 44, 23, 8, 
2023/5/3, 59, 46, 7, 9, 
2023/5/4, 42, 43, 14, 5, 
2023/5/5, 72, 52, 9, 6, 
2023/5/6, 375, 56, 9, 4, 
2023/5/7, 365, 74, 12, 4, 
2023/5/8, 34, 58, 23, 7, 
2023/5/9, 28, 36, 27, 5, 
2023/5/10, 34, 34, 24, 5, 
2023/5/11, 55, 41, 27, 7, 
2023/5/12, 52, 61, 29, 14, 
2023/5/13, 56, 53, 22, 10, 
2023/5/14, 53, 54, 28, 11, 
2023/5/15, 56, 48, 9, 5, 
2023/5/16, 50, 50, 15, 7, 
2023/5/17, 35, 38, 21, 6, 
2023/5/18, 28, 53, 27, 8, 
2023/5/19, 34, 45, 20, 6, 
2023/5/20, 49, 49, 15, 6, 
2023/5/21, 47, 34, 10, 4, 
2023/5/22, 55, 30, 16, 4, 
2023/5/23, 37, 26, 17, 6, 
2023/5/24, 30, 38, 20, 5, 
2023/5/25, 36, 50, 17, 7, 
2023/5/26, 48, 43, 22, 6, 
2023/5/27, 51, 49, 22, 6, 
2023/5/28, 42, 61, 18, 10, 
2023/5/29, 41, 58, 14, 8, 
2023/5/30, 67, 70, 17, 4, 
2023/5/31, 66, 50, 15, 4, 
2023/6/1, 56, 57, 12, 5, 
2023/6/2, 38, 63, 7, 5, 
2023/6/3, 32, 70, 13, 6, 
2023/6/4, 26, 56, 10, 3, 
2023/6/5, 46, 40, 13, 4, 
2023/6/6, 86, 34, 18, 6, 
2023/6/7, 91, 51, 18, 3, 
2023/6/8, 122, 65, 19, 9, 
2023/6/9, 93, 45, 29, 12, 
2023/6/10, 28, 55, 26, 7, 
2023/6/11, 32, 97, 12, 4, 
2023/6/12, 52, 73, 17, 3, 
2023/6/13, 71, 68, 18, 4, 
2023/6/14, 74, 51, 8, 3, 
2023/6/15, 95, 46, 8, 4, 
2023/6/16, 92, 47, 10, 4, 
2023/6/17, 107, 65, 7, 4, 
2023/6/18, 105, 36, 17, 4, 
2023/6/19, 106, 45, 10, 10, 
2023/6/20, 84, 59, 7, 2, 
2023/6/21, 96, 53, 9, 1, 
2023/6/22, 49, 51, 8, 1, 
2023/6/23, 41, 70, 4, 1, 
2023/6/24, 48, 61, 5, 1, 
2023/6/25, 62, , , , 
2023/6/27, 69, 75, 6, 5, 
2023/6/28, 100, 42, 2, 5, 
2023/6/29, 91, 23, , 4, 
2023/6/30, 90, 71, 3, 2, 
2023/7/1, 82, 76, 5, 7, 
2023/1/3, 59, 36, 18, 3, 
2023/1/4, 62, 41, 19, 2, 
2023/1/5, 61, 35, 21, 3, 
2023/1/6, 75, 40, 14, 3, 
2023/1/7, 83, 26, 11, 4, 
2023/1/8, 66, 37, 13, 2, 
2023/1/9, 56, 38, 18, 3, 
2023/1/10, 57, 34, 13, 3, 
2023/1/11, 68, 37, 6, 3, 
2023/1/12, 72, 40, 11, 4, 
2023/1/13, 60, 36, 10, 3, 
